fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8888888888888888,0.8666666666666667,0.8851727982162765,0.8563488385776752,0.9870865345001221,6,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(31)]"
2,0.8571428571428571,0.8076923076923077,0.847424684159378,0.7844645405527362,0.9443340301513672,6,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(31)]"
3,0.8857142857142857,0.8428030303030303,0.8822857142857143,0.8348471099367218,0.9436244964599609,6,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(21)]"
4,0.7714285714285715,0.761904761904762,0.7714285714285715,0.7604152106033958,0.943000078201294,6,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(15)]"
5,0.8571428571428571,0.8115942028985508,0.8513119533527697,0.7985494095046904,0.9766428470611572,6,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(25)]"
6,0.8285714285714286,0.7756410256410258,0.8285714285714286,0.7679476477883044,0.9440000057220459,6,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(10)]"
7,0.8285714285714286,0.8125,0.8204795204795206,0.7905694150420949,0.9460000991821289,6,"[np.int64(1), np.int64(5), np.int64(7), np.int64(8), np.int64(10), np.int64(21)]"
8,0.9714285714285714,0.9642857142857143,0.9712316968130921,0.9636241116594315,0.9786474704742432,6,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(25)]"
9,0.8285714285714286,0.7272727272727273,0.8059523809523809,0.674199862463242,0.9440000057220459,6,"[np.int64(1), np.int64(5), np.int64(8), np.int64(9), np.int64(10), np.int64(31)]"
10,0.9142857142857143,0.8882575757575758,0.9131195335276968,0.8854890790353708,0.9476399421691895,6,"[np.int64(1), np.int64(3), np.int64(5), np.int64(8), np.int64(10), np.int64(21)]"
