fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.7203703703703703,0.6451612903225806,0.7200822998230956,0.2958979606628418,1,[2]
2,0.7402597402597403,0.7346938775510203,0.6666666666666666,0.7344103761406768,0.22999024391174316,1,[2]
3,0.5844155844155844,0.5988461538461539,0.5,0.5974303950445415,0.21049261093139648,1,[2]
4,0.8311688311688312,0.8545454545454546,0.7547169811320755,0.8528028654224418,0.24933695793151855,1,[2]
5,0.7142857142857143,0.7372448979591837,0.6764705882352942,0.7324227936704636,0.2521193027496338,1,[2]
6,0.6623376623376623,0.6553030303030303,0.6060606060606061,0.6534502622075099,0.2482740879058838,1,[2]
7,0.7922077922077922,0.7974074074074075,0.7333333333333333,0.7972173828734265,0.2781386375427246,1,[2]
8,0.7012987012987013,0.668421052631579,0.5106382978723404,0.6649099662043687,0.2331387996673584,1,[2]
9,0.6447368421052632,0.6548387096774194,0.6197183098591549,0.6525384675349823,0.2416820526123047,1,[2]
10,0.6578947368421053,0.6764928193499622,0.6060606060606061,0.6734350297014738,0.2534008026123047,1,[2]
