fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6753246753246753,0.6453846153846154,0.6796916888454344,0.6397114734243629,0.06179308891296387,6,"[1, 2, 5, 6, 7, 8]"
2,0.5714285714285714,0.5684615384615385,0.5847246354914255,0.5683985600588051,0.06238508224487305,6,"[1, 2, 5, 6, 7, 8]"
3,0.6623376623376623,0.6876923076923077,0.6730068542568544,0.6838803314120883,0.059800148010253906,6,"[1, 2, 5, 6, 7, 8]"
4,0.6753246753246753,0.7076923076923077,0.6854269326179439,0.7016464154456233,0.09567999839782715,6,"[1, 2, 5, 6, 7, 8]"
5,0.6753246753246753,0.7171945701357467,0.6828533785055524,0.7055051782666701,0.06079721450805664,6,"[1, 2, 5, 6, 7, 8]"
6,0.5844155844155844,0.6014328808446455,0.5954348681621409,0.5991446895152781,0.06379246711730957,6,"[1, 2, 5, 6, 7, 8]"
7,0.7012987012987013,0.6896681749622926,0.7067011483723367,0.6887372317211945,0.06079673767089844,6,"[1, 2, 5, 6, 7, 8]"
8,0.6052631578947368,0.603921568627451,0.6167048054919908,0.6039088361275575,0.061792612075805664,6,"[1, 2, 5, 6, 7, 8]"
9,0.7631578947368421,0.7725490196078432,0.7694134455728462,0.7720611577929232,0.06079602241516113,6,"[1, 2, 5, 6, 7, 8]"
10,0.6973684210526315,0.7337254901960784,0.7061985201731118,0.7259881703784241,0.06179380416870117,5,"[1, 2, 6, 7, 8]"
