fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.7740384615384615,0.8027210884353742,0.75955452531275,0.2050008773803711,11,"[1, 5, 12, 21, 28, 29, 47, 49, 53, 54, 59]"
2,0.5714285714285714,0.58125,0.6031746031746031,0.5809475019311126,0.31000423431396484,11,"[1, 4, 11, 12, 21, 27, 29, 47, 49, 52, 54]"
3,0.6190476190476191,0.6090909090909091,0.6007326007326007,0.5720775535473555,0.12099981307983398,11,"[4, 11, 12, 21, 28, 29, 39, 47, 49, 52, 54]"
4,0.7619047619047619,0.7836538461538461,0.7651738040754059,0.7783117824941562,0.17136621475219727,11,"[5, 11, 12, 21, 28, 29, 47, 49, 51, 52, 53]"
5,0.7142857142857143,0.7272727272727273,0.6936813186813188,0.674199862463242,0.12672185897827148,11,"[2, 4, 12, 21, 28, 29, 39, 43, 47, 49, 54]"
6,0.8095238095238095,0.7857142857142858,0.8095238095238095,0.7824607964359516,0.29558658599853516,11,"[1, 5, 12, 21, 28, 29, 47, 49, 53, 54, 59]"
7,0.6666666666666666,0.6590909090909092,0.6572549019607843,0.6396021490668313,0.2386634349822998,11,"[4, 12, 21, 28, 29, 39, 43, 47, 52, 54, 59]"
8,0.5238095238095238,0.5318181818181817,0.5105820105820106,0.504524979109513,0.1290132999420166,11,"[5, 12, 21, 28, 29, 44, 49, 52, 53, 54, 59]"
9,0.8,0.7979797979797981,0.8,0.7977240352174657,0.22073674201965332,11,"[1, 5, 12, 21, 29, 44, 49, 52, 54, 58, 59]"
10,0.6,0.6041666666666667,0.604040404040404,0.60380736442456,0.27900004386901855,11,"[1, 5, 12, 21, 28, 29, 39, 47, 49, 52, 59]"
