fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7402597402597403,0.7429245283018868,0.7482109727007686,0.7428908348154728,0.19464588165283203,4,"[1, 2, 6, 8]"
2,0.6623376623376623,0.6749213836477987,0.6745509809339597,0.6740938478604225,0.15023541450500488,4,"[1, 2, 6, 8]"
3,0.6233766233766234,0.6466194968553459,0.6371723514580658,0.6436677528823616,0.1406092643737793,4,"[1, 2, 6, 8]"
4,0.7402597402597403,0.7429245283018868,0.7482109727007686,0.7428908348154728,0.1406097412109375,4,"[1, 2, 6, 8]"
5,0.7792207792207793,0.7826257861635221,0.7854650400104944,0.7825735643681039,0.14869117736816406,4,"[2, 6, 7, 8]"
6,0.7532467532467533,0.7523584905660379,0.7602256329529057,0.7523547938632787,0.13461732864379883,4,"[1, 2, 6, 8]"
7,0.6753246753246753,0.6869230769230769,0.6853974511298678,0.6861262498762387,0.1406552791595459,4,"[1, 2, 6, 8]"
8,0.6842105263157895,0.7243589743589745,0.6949760765550239,0.716114874039433,0.2038898468017578,4,"[1, 2, 6, 7]"
9,0.6973684210526315,0.7451923076923077,0.7073758667225092,0.7337993857053429,0.15343856811523438,4,"[1, 2, 6, 8]"
10,0.631578947368421,0.6298076923076923,0.6437425184384292,0.6297893420697236,0.14057064056396484,4,"[1, 2, 6, 8]"
