fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.798076923076923,0.8095238095238095,0.7966275068156915,1.0824766159057617,20,"[1, 4, 11, 12, 20, 21, 22, 24, 27, 29, 39, 43, 44, 45, 46, 49, 52, 54, 58, 59]"
2,0.6666666666666666,0.6826923076923077,0.6712433257055682,0.6793662204867574,1.0380001068115234,23,"[1, 4, 5, 11, 12, 20, 21, 22, 23, 26, 27, 29, 30, 33, 43, 45, 47, 48, 49, 51, 52, 54, 59]"
3,0.7619047619047619,0.7777777777777778,0.7619047619047619,0.769800358919501,1.0585191249847412,16,"[4, 11, 12, 21, 22, 23, 27, 28, 29, 39, 43, 45, 47, 49, 52, 54]"
4,0.8095238095238095,0.8090909090909091,0.8095238095238095,0.8090398349558906,1.0604736804962158,14,"[1, 4, 11, 12, 20, 21, 23, 27, 29, 45, 47, 48, 52, 59]"
5,0.6190476190476191,0.6318181818181818,0.5915750915750916,0.5720775535473553,1.0614371299743652,19,"[1, 4, 10, 11, 12, 21, 22, 23, 28, 29, 39, 43, 44, 45, 47, 48, 49, 52, 54]"
6,0.7619047619047619,0.7857142857142858,0.7686274509803921,0.7824607964359516,1.0750739574432373,18,"[1, 4, 11, 12, 20, 21, 22, 23, 27, 28, 29, 39, 45, 49, 51, 52, 53, 59]"
7,0.8095238095238095,0.8136363636363636,0.8086580086580087,0.8090398349558905,1.0606324672698975,20,"[1, 11, 12, 21, 23, 27, 29, 30, 39, 43, 44, 45, 47, 48, 51, 52, 54, 58, 59, 60]"
8,0.6190476190476191,0.6388888888888888,0.6155844155844156,0.6236095644623235,1.0575079917907715,18,"[4, 11, 12, 20, 21, 23, 27, 29, 44, 45, 46, 47, 48, 49, 52, 54, 59, 60]"
9,0.8,0.8080808080808081,0.8,0.8040302522073697,1.071603775024414,23,"[1, 4, 11, 12, 20, 21, 22, 23, 27, 29, 39, 43, 44, 45, 47, 48, 49, 51, 52, 54, 58, 59, 60]"
10,0.5,0.5208333333333334,0.5,0.5103103630798288,1.0624291896820068,16,"[1, 4, 11, 12, 20, 21, 23, 27, 29, 39, 44, 48, 49, 51, 52, 59]"
