fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.7045454545454546,0.7692307692307693,0.674199862463242,0.28824472427368164,10,"[np.int64(1), np.int64(12), np.int64(19), np.int64(28), np.int64(34), np.int64(39), np.int64(49), np.int64(51), np.int64(53), np.int64(59)]"
2,0.7142857142857143,0.7142857142857143,0.7692307692307693,0.7142857142857143,0.29309701919555664,10,"[np.int64(1), np.int64(12), np.int64(19), np.int64(26), np.int64(28), np.int64(34), np.int64(49), np.int64(51), np.int64(54), np.int64(60)]"
3,0.6190476190476191,0.6527777777777777,0.6666666666666666,0.6085806194501846,0.24997353553771973,10,"[np.int64(2), np.int64(12), np.int64(18), np.int64(21), np.int64(28), np.int64(30), np.int64(39), np.int64(49), np.int64(51), np.int64(59)]"
4,0.7619047619047619,0.7596153846153846,0.8,0.75955452531275,0.20371317863464355,10,"[np.int64(1), np.int64(12), np.int64(19), np.int64(21), np.int64(28), np.int64(34), np.int64(49), np.int64(51), np.int64(53), np.int64(59)]"
5,0.7142857142857143,0.7272727272727273,0.7692307692307693,0.674199862463242,0.2510042190551758,10,"[np.int64(2), np.int64(4), np.int64(12), np.int64(21), np.int64(22), np.int64(28), np.int64(39), np.int64(49), np.int64(53), np.int64(59)]"
6,0.6190476190476191,0.6090909090909091,0.6923076923076923,0.5720775535473555,0.31453680992126465,10,"[np.int64(1), np.int64(12), np.int64(13), np.int64(21), np.int64(28), np.int64(34), np.int64(41), np.int64(49), np.int64(51), np.int64(60)]"
7,0.6666666666666666,0.6586538461538461,0.72,0.6577935144802719,0.2655971050262451,10,"[np.int64(1), np.int64(12), np.int64(21), np.int64(28), np.int64(39), np.int64(43), np.int64(49), np.int64(51), np.int64(53), np.int64(59)]"
8,0.38095238095238093,0.38636363636363635,0.43478260869565216,0.3692744729379982,0.21877002716064453,10,"[np.int64(2), np.int64(12), np.int64(19), np.int64(22), np.int64(28), np.int64(34), np.int64(38), np.int64(49), np.int64(51), np.int64(60)]"
9,0.8,0.7916666666666666,0.8333333333333334,0.7905694150420949,0.17395281791687012,10,"[np.int64(1), np.int64(12), np.int64(21), np.int64(28), np.int64(39), np.int64(43), np.int64(49), np.int64(51), np.int64(53), np.int64(59)]"
10,0.5,0.5208333333333334,0.5,0.5103103630798288,0.23434948921203613,10,"[np.int64(1), np.int64(12), np.int64(19), np.int64(28), np.int64(34), np.int64(39), np.int64(49), np.int64(51), np.int64(52), np.int64(59)]"
