fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8055555555555556,0.7952380952380953,0.8044640470462442,0.7928249671720918,0.0727996826171875,9,"[1, 3, 5, 7, 8, 10, 15, 18, 31]"
2,0.8285714285714286,0.7976190476190476,0.8217391304347826,0.7824607964359516,0.13402938842773438,9,"[1, 3, 5, 8, 9, 10, 15, 18, 31]"
3,0.8,0.75,0.780952380952381,0.7071067811865476,0.07811713218688965,9,"[1, 3, 5, 8, 9, 10, 15, 18, 31]"
4,0.8,0.7619047619047619,0.7888991674375578,0.7377111135633174,0.07816576957702637,9,"[1, 4, 5, 7, 8, 9, 10, 15, 18]"
5,0.8571428571428571,0.8333333333333333,0.8533333333333334,0.8247860988423225,0.06249189376831055,9,"[1, 3, 4, 5, 7, 8, 15, 18, 31]"
6,0.8,0.7738095238095237,0.7946666666666666,0.7626484465736652,0.07333660125732422,9,"[1, 3, 4, 5, 8, 10, 15, 18, 31]"
7,0.8571428571428571,0.8214285714285714,0.849213691026827,0.8017837257372732,0.07807540893554688,9,"[1, 3, 5, 7, 8, 10, 15, 18, 31]"
8,0.9428571428571428,0.9285714285714286,0.9419580419580419,0.9258200997725514,0.06247353553771973,9,"[1, 4, 5, 7, 8, 9, 10, 18, 31]"
9,0.7714285714285715,0.7416666666666667,0.7577639751552795,0.7118052168020874,0.14054560661315918,9,"[1, 4, 5, 7, 8, 9, 10, 18, 25]"
10,0.8,0.7749999999999999,0.7911111111111111,0.7549834435270749,0.07811689376831055,9,"[1, 3, 4, 5, 8, 9, 10, 15, 31]"
