fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7894736842105263,0.7713675213675213,0.7922437673130194,0.769800358919501,0.16222167015075684,2,"[8, 22]"
2,0.8596491228070176,0.8824786324786325,0.8638262322472848,0.8803003890313663,0.17185616493225098,2,"[8, 22]"
3,0.8771929824561403,0.8952991452991452,0.8804754954543057,0.8939492710133495,0.2153911590576172,2,"[2, 28]"
4,0.8596491228070176,0.8675213675213674,0.8628733997155049,0.8672581807839879,0.20310568809509277,2,"[8, 22]"
5,0.8771929824561403,0.8952991452991452,0.8804754954543057,0.8939492710133495,0.21872282028198242,2,"[8, 22]"
6,0.8596491228070176,0.868421052631579,0.8624338624338624,0.868022236972139,0.2208240032196045,2,"[8, 22]"
7,0.8070175438596491,0.8421052631578948,0.812533079284429,0.835500414020397,0.18798470497131348,2,"[21, 28]"
8,0.8245614035087719,0.8421052631578948,0.829004329004329,0.8404589169827007,0.20822548866271973,2,"[2, 28]"
9,0.9298245614035088,0.9473684210526316,0.9312169312169312,0.9459053029269173,0.3050098419189453,2,"[8, 22]"
10,0.8928571428571429,0.9064327485380117,0.895238095238095,0.9056353783927013,0.15627551078796387,2,"[8, 22]"
