fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7222222222222222,0.6153846153846154,0.660218253968254,0.4803844614152614,0.22238540649414062,1,[1]
2,0.7428571428571429,0.625,0.6867532467532467,0.5,0.2012794017791748,1,[1]
3,0.7714285714285715,0.6666666666666667,0.7312169312169312,0.5773502691896257,0.25003552436828613,1,[1]
4,0.7428571428571429,0.625,0.6867532467532467,0.5,0.20515799522399902,1,[1]
5,0.7142857142857143,0.5833333333333333,0.6377551020408163,0.408248290463863,0.20310020446777344,1,[1]
6,0.7714285714285715,0.6923076923076923,0.7382173382173383,0.6201736729460423,0.21878337860107422,1,[1]
7,0.7428571428571429,0.6538461538461539,0.6966228000634216,0.5547001962252291,0.20565032958984375,1,[1]
8,0.7428571428571429,0.6538461538461539,0.6966228000634216,0.5547001962252291,0.2312171459197998,1,[1]
9,0.6857142857142857,0.6241258741258742,0.6643343051506316,0.5763400317241829,0.22253680229187012,1,[5]
10,0.7714285714285715,0.6923076923076923,0.7382173382173383,0.6201736729460423,0.21867036819458008,1,[1]
