fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8771929824561403,0.8803418803418803,0.8794601889338731,0.8803003890313663,0.33390140533447266,6,"[8, 15, 21, 22, 27, 29]"
2,0.9122807017543859,0.9358974358974359,0.9146253538959326,0.9336995618478525,0.301128625869751,6,"[8, 15, 21, 22, 27, 29]"
3,0.9473684210526315,0.9615384615384616,0.9483400809716599,0.9607689228305228,0.25127172470092773,6,"[2, 15, 21, 28, 29, 30]"
4,0.9122807017543859,0.9209401709401709,0.9139001349527666,0.920640183556175,0.2414700984954834,6,"[2, 8, 15, 21, 28, 29]"
5,0.9122807017543859,0.9358974358974359,0.9146253538959326,0.9336995618478525,0.3035399913787842,6,"[8, 15, 21, 22, 27, 29]"
6,0.9122807017543859,0.9078947368421053,0.9128205128205129,0.9077993847715968,0.32984304428100586,6,"[2, 8, 15, 21, 27, 29]"
7,0.8771929824561403,0.8947368421052629,0.8800087345780108,0.8931875130777442,0.23434925079345703,6,"[2, 8, 15, 21, 28, 29]"
8,0.9122807017543859,0.9210526315789472,0.9136874930393138,0.9206766149755737,0.3284130096435547,6,"[2, 8, 21, 25, 28, 29]"
9,0.9824561403508771,0.986842105263158,0.9825641025641025,0.9867543820659302,0.3514902591705322,6,"[8, 15, 21, 22, 29, 30]"
10,0.8928571428571429,0.9064327485380117,0.895238095238095,0.9056353783927013,0.3014564514160156,6,"[8, 15, 21, 22, 27, 29]"
