fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8947368421052632,0.8889610389610391,0.8947368421052632,0.8886002417343749,0.4108541011810303,3,"[14, 24, 27]"
2,0.8947368421052632,0.8805194805194806,0.8936925647451963,0.8783100656536799,0.4333462715148926,3,"[14, 24, 27]"
3,0.8771929824561403,0.8746753246753247,0.8776675989490635,0.8746056625331584,0.41236066818237305,3,"[22, 24, 27]"
4,0.8596491228070176,0.8350649350649351,0.8564248458985302,0.828078671210825,0.46662187576293945,3,"[22, 24, 27]"
5,0.8771929824561403,0.8746753246753247,0.8776675989490635,0.8746056625331584,0.42664361000061035,3,"[14, 24, 27]"
6,0.8245614035087719,0.798051948051948,0.8205310573731627,0.7895420339517227,0.49730825424194336,3,"[14, 27, 28]"
7,0.8245614035087719,0.798051948051948,0.8205310573731627,0.7895420339517227,0.5333817005157471,3,"[14, 24, 27]"
8,0.9298245614035088,0.9175324675324675,0.9291283764967976,0.9159481639050536,0.40809178352355957,3,"[14, 24, 27]"
9,0.9473684210526315,0.9402597402597402,0.9471270708707569,0.9397429877987296,0.2982809543609619,3,"[22, 24, 27]"
10,0.9107142857142857,0.894385026737968,0.9093340530990822,0.8911327886790069,0.5321121215820312,3,"[14, 24, 27]"
