fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9473684210526315,0.9571428571428571,0.9478698333639751,0.9561828874675149,0.20480036735534668,8,"[4, 11, 21, 22, 24, 25, 28, 29]"
2,0.9824561403508771,0.9857142857142857,0.9825239427070089,0.9856107606091623,0.10936498641967773,8,"[14, 21, 22, 24, 25, 27, 28, 29]"
3,0.9649122807017544,0.9623015873015873,0.9649122807017544,0.9622504486493763,0.10940003395080566,8,"[8, 14, 21, 22, 24, 25, 27, 29]"
4,0.9298245614035088,0.9047619047619048,0.92797783933518,0.8997354108424374,0.10932660102844238,8,"[7, 14, 21, 22, 24, 25, 28, 29]"
5,0.9824561403508771,0.9761904761904762,0.9823623542652152,0.9759000729485332,0.12498712539672852,8,"[14, 21, 22, 24, 25, 27, 28, 29]"
6,0.9824561403508771,0.9761904761904762,0.9823623542652152,0.9759000729485332,0.12745189666748047,8,"[4, 14, 22, 24, 25, 27, 28, 29]"
7,1.0,1.0,1.0,1.0,0.1406116485595703,8,"[8, 14, 21, 22, 24, 25, 27, 29]"
8,0.9473684210526315,0.9583333333333333,0.9479786422578186,0.9574271077563381,0.20310187339782715,8,"[4, 14, 22, 24, 25, 27, 28, 29]"
9,0.9649122807017544,0.9523809523809523,0.9645092460881936,0.9511897312113419,0.12611031532287598,8,"[14, 21, 22, 24, 25, 27, 28, 29]"
10,1.0,1.0,1.0,1.0,0.10936355590820312,8,"[7, 14, 21, 22, 24, 25, 28, 29]"
