fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7096774193548387,0.7393162393162394,0.7054302760643139,0.716114874039433,0.03400015830993652,10,"[1, 2, 3, 5, 7, 9, 10, 11, 12, 13]"
2,0.8709677419354839,0.8697478991596639,0.8709677419354839,0.8696565534786727,0.033602237701416016,10,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 13]"
3,0.7419354838709677,0.7434210526315791,0.7446925834022609,0.7433919416750281,0.03299999237060547,8,"[1, 2, 3, 7, 9, 11, 12, 13]"
4,0.8,0.8229665071770336,0.8036199095022625,0.8184475910711347,0.03399991989135742,10,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 13]"
5,0.8,0.8,0.7991071428571428,0.7972173828734265,0.03299999237060547,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
6,0.8666666666666667,0.9,0.8703703703703705,0.8944271909999159,0.034005165100097656,10,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 13]"
7,0.7666666666666667,0.7361111111111112,0.7589743589743588,0.7200822998230956,0.03300046920776367,10,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 13]"
8,0.7666666666666667,0.7760180995475114,0.7674453096032628,0.7728422011467174,0.09200024604797363,9,"[2, 3, 4, 7, 9, 10, 11, 12, 13]"
9,0.7666666666666667,0.738095238095238,0.769961489088575,0.7346308866924529,0.03600001335144043,10,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 13]"
10,0.7666666666666667,0.7775119617224882,0.7706666666666667,0.7764475599788625,0.03700375556945801,10,"[1, 2, 3, 5, 7, 9, 10, 11, 12, 13]"
