fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7741935483870968,0.8055555555555556,0.7708902147166886,0.7817359599705717,0.45072054862976074,6,"[2, 3, 9, 10, 12, 13]"
2,0.9032258064516129,0.9054621848739496,0.9034280513702093,0.9051672392947266,0.4752039909362793,6,"[2, 3, 9, 10, 12, 13]"
3,0.7096774193548387,0.7017543859649122,0.7115605928509154,0.7008766440504623,0.4470055103302002,5,"[2, 3, 9, 12, 13]"
4,0.8,0.8229665071770336,0.8036199095022625,0.8184475910711347,0.48200011253356934,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
5,0.8,0.8,0.7991071428571428,0.7972173828734265,0.45400047302246094,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
6,0.8,0.85,0.8054298642533937,0.8366600265340756,0.4725830554962158,6,"[2, 3, 9, 10, 12, 13]"
7,0.7666666666666667,0.7361111111111112,0.7589743589743588,0.7200822998230956,0.4509999752044678,9,"[1, 2, 3, 7, 9, 10, 11, 12, 13]"
8,0.7666666666666667,0.7760180995475114,0.7674453096032628,0.7728422011467174,0.5060005187988281,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
9,0.7666666666666667,0.738095238095238,0.769961489088575,0.7346308866924529,0.4850039482116699,8,"[2, 3, 7, 9, 10, 11, 12, 13]"
10,0.7666666666666667,0.7583732057416268,0.7685859772816296,0.7577352304240824,0.49700093269348145,6,"[3, 9, 10, 11, 12, 13]"
