fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8387096774193549,0.8290598290598289,0.8376634699215345,0.826898230594723,0.33052492141723633,6,"[3, 7, 10, 11, 12, 13]"
2,0.7741935483870968,0.7752100840336134,0.774665453197155,0.7751389140885998,0.2901325225830078,6,"[2, 3, 7, 10, 12, 13]"
3,0.6774193548387096,0.6794871794871796,0.6794524261317431,0.6793662204867574,0.2907075881958008,6,"[3, 7, 9, 10, 12, 13]"
4,0.8333333333333334,0.8257918552036198,0.8323809523809523,0.8238525545716346,0.32898902893066406,6,"[3, 7, 9, 10, 12, 13]"
5,0.8,0.8,0.7991071428571428,0.7972173828734265,0.29471635818481445,6,"[2, 3, 7, 10, 12, 13]"
6,0.8333333333333334,0.868421052631579,0.8361391694725028,0.8583950752789521,0.2920558452606201,6,"[2, 3, 7, 10, 12, 13]"
7,0.7333333333333333,0.6944444444444444,0.7200000000000001,0.6666666666666666,0.2900967597961426,6,"[3, 7, 9, 10, 12, 13]"
8,0.8333333333333334,0.8611111111111112,0.8342602892102337,0.8498365855987975,0.3311312198638916,6,"[3, 7, 10, 11, 12, 13]"
9,0.8,0.763888888888889,0.7899999999999998,0.7422438453270771,0.29033589363098145,6,"[1, 3, 7, 10, 12, 13]"
10,0.8,0.7963800904977375,0.8,0.7959171834405434,0.28984689712524414,6,"[2, 3, 7, 10, 12, 13]"
