fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6774193548387096,0.6743697478991596,0.6774193548387096,0.6736330697086078,0.23259234428405762,10,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 13]"
2,0.8064516129032258,0.8309523809523808,0.8123938879456706,0.828078671210825,0.09559106826782227,10,"[1, 2, 3, 4, 5, 7, 9, 11, 12, 13]"
3,0.6333333333333333,0.6383928571428572,0.6321097515758249,0.6338656910463875,0.09200000762939453,10,"[1, 2, 3, 4, 7, 8, 9, 11, 12, 13]"
4,0.7666666666666667,0.75,0.7647473560517039,0.7453559924999299,0.11199712753295898,10,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 13]"
5,0.6666666666666666,0.6666666666666667,0.669683257918552,0.6666666666666666,0.09400391578674316,10,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 13]"
6,0.6666666666666666,0.638888888888889,0.6602870813397128,0.6236095644623235,0.09459185600280762,10,"[1, 2, 3, 4, 5, 6, 9, 11, 12, 13]"
7,0.8333333333333334,0.8492822966507176,0.8361904761904762,0.8471737420873575,0.06000065803527832,10,"[1, 2, 3, 5, 7, 9, 10, 11, 12, 13]"
8,0.7666666666666667,0.7777777777777779,0.769023569023569,0.775791113542719,0.12900590896606445,10,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 13]"
9,0.7,0.715909090909091,0.7164835164835165,0.7150969419341943,0.058699846267700195,10,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 13]"
10,0.7,0.7083333333333334,0.7030303030303031,0.7071067811865476,0.1359999179840088,10,"[1, 2, 3, 5, 7, 9, 10, 11, 12, 13]"
