fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8888888888888888,0.8666666666666667,0.8851727982162765,0.8563488385776752,0.030999422073364258,10,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(21), np.int64(25), np.int64(31)]"
2,0.8571428571428571,0.8076923076923077,0.847424684159378,0.7844645405527362,0.03209972381591797,9,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(12), np.int64(15), np.int64(25), np.int64(31)]"
3,0.9142857142857143,0.8882575757575758,0.9131195335276968,0.8854890790353708,0.032000064849853516,9,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(12), np.int64(21), np.int64(25), np.int64(31)]"
4,0.7714285714285715,0.761904761904762,0.7714285714285715,0.7604152106033958,0.029999971389770508,11,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(15), np.int64(23), np.int64(25), np.int64(29)]"
5,0.8571428571428571,0.8115942028985508,0.8513119533527697,0.7985494095046904,0.031000137329101562,11,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(12), np.int64(14), np.int64(15), np.int64(21), np.int64(25), np.int64(31)]"
6,0.8285714285714286,0.7756410256410258,0.8285714285714286,0.7679476477883044,0.029999971389770508,9,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(14), np.int64(15), np.int64(25)]"
7,0.8571428571428571,0.84375,0.8522209917558754,0.82915619758885,0.03099989891052246,8,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(25), np.int64(31)]"
8,0.9714285714285714,0.9642857142857143,0.9712316968130921,0.9636241116594315,0.03012824058532715,10,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(15), np.int64(25), np.int64(31)]"
9,0.9142857142857143,0.8636363636363636,0.9100398053958425,0.8528028654224418,0.031999826431274414,9,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(12), np.int64(15), np.int64(25), np.int64(31)]"
10,0.9428571428571428,0.9337121212121212,0.9428571428571428,0.9333874443188751,0.03000020980834961,10,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(12), np.int64(14), np.int64(15), np.int64(25), np.int64(31)]"
