fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7662337662337663,0.795990566037736,0.7,0.7920596508887684,0.14339041709899902,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,0.7272727272727273,0.7397959183673468,0.676923076923077,0.7383694904132875,0.13962650299072266,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
3,0.6623376623376623,0.6469404186795491,0.5185185185185185,0.6458089834898549,0.19344496726989746,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
4,0.7402597402597403,0.777122641509434,0.6774193548387096,0.7709342531250699,0.13820195198059082,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
5,0.8181818181818182,0.831818181818182,0.7307692307692307,0.8312094145936335,0.1373283863067627,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
6,0.7272727272727273,0.7474489795918368,0.6865671641791045,0.7437788630262008,0.138716459274292,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
7,0.7272727272727273,0.7215277777777778,0.676923076923077,0.7207249436813217,0.13922381401062012,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
8,0.631578947368421,0.6620180475799835,0.5483870967741935,0.6575116539359024,0.13658905029296875,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
9,0.6578947368421053,0.6649831649831649,0.5357142857142857,0.664770029347888,0.19063234329223633,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
10,0.75,0.7831372549019607,0.6984126984126984,0.7771239081558686,0.14074158668518066,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
