fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8771929824561403,0.8831168831168832,0.8783629445159422,0.8827348295047495,0.38103699684143066,11,"[3, 7, 9, 11, 17, 21, 22, 23, 27, 28, 30]"
2,0.9298245614035088,0.9344155844155844,0.9303181226724098,0.9341987329938275,0.37180066108703613,11,"[3, 7, 11, 17, 21, 22, 24, 27, 28, 29, 30]"
3,0.9298245614035088,0.9344155844155844,0.9303181226724098,0.9341987329938275,0.4545462131500244,11,"[3, 7, 11, 17, 21, 22, 24, 26, 27, 28, 30]"
4,0.8771929824561403,0.8577922077922078,0.8752234746572412,0.8535639569308374,0.3926410675048828,11,"[7, 13, 17, 21, 22, 23, 24, 26, 27, 28, 30]"
5,0.8596491228070176,0.851948051948052,0.8596491228070176,0.8512786410308464,0.28209590911865234,11,"[4, 7, 9, 13, 17, 21, 22, 24, 27, 28, 29]"
6,0.8771929824561403,0.8577922077922078,0.8752234746572412,0.8535639569308374,0.25216054916381836,11,"[3, 4, 9, 11, 17, 21, 22, 27, 28, 29, 30]"
7,0.8947368421052632,0.8974025974025974,0.8954771840086149,0.8973264763701142,0.37496161460876465,11,"[4, 6, 10, 13, 17, 21, 22, 26, 27, 28, 29]"
8,0.9473684210526315,0.9487012987012986,0.9475718281210272,0.9486832980505138,0.375246524810791,11,"[3, 7, 11, 17, 21, 22, 24, 26, 27, 28, 30]"
9,0.8947368421052632,0.9058441558441559,0.8959330143540669,0.9045340337332909,0.39412355422973633,11,"[3, 10, 11, 17, 21, 22, 23, 24, 27, 28, 29]"
10,0.8928571428571429,0.8796791443850268,0.8918367346938776,0.8775269089525568,0.6726784706115723,11,"[3, 9, 10, 11, 17, 21, 22, 24, 27, 28, 30]"
