fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7792207792207793,0.7826257861635221,0.7854650400104944,0.7825735643681039,0.14208698272705078,4,"[1, 2, 6, 7]"
2,0.6623376623376623,0.6749213836477987,0.6745509809339597,0.6740938478604225,0.1406419277191162,4,"[1, 2, 6, 8]"
3,0.6233766233766234,0.6466194968553459,0.6371723514580658,0.6436677528823616,0.14061260223388672,4,"[1, 2, 6, 8]"
4,0.7402597402597403,0.7429245283018868,0.7482109727007686,0.7428908348154728,0.1886582374572754,4,"[1, 2, 6, 8]"
5,0.7792207792207793,0.7826257861635221,0.7854650400104944,0.7825735643681039,0.1406106948852539,4,"[2, 6, 7, 8]"
6,0.7532467532467533,0.7523584905660379,0.7602256329529057,0.7523547938632787,0.14064288139343262,4,"[1, 2, 6, 8]"
7,0.6753246753246753,0.6869230769230769,0.6853974511298678,0.6861262498762387,0.15625739097595215,4,"[1, 2, 6, 8]"
8,0.6842105263157895,0.7243589743589745,0.6949760765550239,0.716114874039433,0.14259004592895508,4,"[1, 2, 6, 7]"
9,0.6842105263157895,0.7243589743589745,0.6949760765550239,0.716114874039433,0.1406099796295166,4,"[1, 2, 6, 8]"
10,0.6447368421052632,0.6506410256410255,0.6568444073551841,0.6504436355879908,0.12498641014099121,4,"[1, 2, 6, 8]"
