fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8771929824561403,0.857469512195122,0.8782956268336385,0.8562894997120268,0.2869994640350342,8,"[4, 5, 6, 8, 18, 22, 29, 30]"
2,0.8596491228070176,0.8804054054054054,0.8626104904204245,0.8776504260070009,0.24400067329406738,8,"[4, 5, 6, 8, 18, 22, 29, 30]"
3,0.8947368421052632,0.9230769230769231,0.8978696741854637,0.9198662110077999,0.23459649085998535,8,"[4, 5, 6, 7, 22, 23, 29, 30]"
4,0.8070175438596491,0.7948529411764705,0.8110817584501795,0.7942810289445269,0.21200060844421387,8,"[2, 5, 6, 8, 21, 23, 29, 30]"
5,0.8596491228070176,0.8492647058823529,0.8617483880641775,0.8488746876271654,0.1821143627166748,8,"[4, 5, 6, 8, 18, 22, 29, 30]"
6,0.8245614035087719,0.8248081841432225,0.8255582137161084,0.8248071928462093,0.23399972915649414,8,"[2, 4, 5, 9, 18, 23, 28, 30]"
7,0.8596491228070176,0.8819930069930071,0.8676722293538726,0.8810356271024323,0.1478128433227539,8,"[4, 6, 8, 22, 23, 26, 29, 30]"
8,0.8245614035087719,0.8262499999999999,0.8251055678899483,0.8261355820929153,0.31963133811950684,8,"[4, 7, 9, 18, 22, 23, 26, 28]"
9,0.7719298245614035,0.7806905370843991,0.7740593313348731,0.779369539945844,0.2355022430419922,8,"[5, 6, 8, 18, 21, 22, 23, 30]"
10,0.8928571428571429,0.8875,0.8946347769877183,0.8874119674649424,0.20400023460388184,8,"[4, 5, 6, 8, 18, 22, 29, 30]"
