fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6753246753246753,0.6903703703703703,0.6827329973397389,0.6885303726590963,0.11266708374023438,2,"[2, 6]"
2,0.6753246753246753,0.6733333333333332,0.6817346235643433,0.6733003292241385,0.09767389297485352,2,"[1, 2]"
3,0.6623376623376623,0.6462962962962963,0.6669465591879384,0.6440611887195306,0.15562152862548828,2,"[2, 8]"
4,0.7922077922077922,0.788888888888889,0.7950440364233468,0.7888106377466155,0.13560700416564941,2,"[2, 6]"
5,0.7272727272727273,0.7218518518518519,0.731651934149704,0.7216236836057563,0.17747116088867188,2,"[2, 6]"
6,0.8051948051948052,0.8159259259259259,0.809040774138606,0.8151346173758323,0.12861108779907227,2,"[2, 6]"
7,0.7012987012987013,0.7018518518518517,0.7071958536791958,0.7018494087712781,0.09767889976501465,2,"[2, 6]"
8,0.7012987012987013,0.7018518518518517,0.7071958536791958,0.7018494087712781,0.12458348274230957,2,"[2, 6]"
9,0.6447368421052632,0.7115384615384616,0.6461517429938483,0.6793662204867574,0.11661005020141602,2,"[2, 6]"
10,0.6578947368421053,0.6569230769230768,0.6658276125095347,0.6569158709747098,0.10066771507263184,2,"[2, 6]"
