fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6774193548387096,0.6901709401709403,0.678763440860215,0.6856277926728687,0.1529998779296875,1,[13]
2,0.8387096774193549,0.834033613445378,0.8380269670592251,0.8326327587384307,0.1360001564025879,1,[13]
3,0.6774193548387096,0.6754385964912281,0.6808657292528261,0.6753816335059705,0.1100001335144043,1,[13]
4,0.6666666666666666,0.6602870813397128,0.6712962962962963,0.659853543268954,0.12399935722351074,1,[13]
5,0.7333333333333333,0.7333333333333334,0.7321428571428572,0.7302967433402214,0.15100479125976562,1,[13]
6,0.7666666666666667,0.7999999999999999,0.7733333333333333,0.7937253933193772,0.10859370231628418,1,[13]
7,0.6666666666666666,0.6527777777777778,0.6666666666666666,0.6490734136415512,0.15999984741210938,1,[13]
8,0.7666666666666667,0.7760180995475114,0.7674453096032628,0.7728422011467174,0.13700079917907715,1,[13]
9,0.6666666666666666,0.5714285714285714,0.6534090909090909,0.5194624816493197,0.14605045318603516,1,[13]
10,0.7333333333333333,0.7320574162679427,0.737037037037037,0.7320417798624029,0.1400001049041748,1,[13]
