fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6623376623376623,0.6565384615384616,0.6715554560382146,0.6563301233138936,0.14839935302734375,2,"[1, 2]"
2,0.5584415584415584,0.5588461538461539,0.5723757308610044,0.5588449626754207,0.13377785682678223,2,"[1, 2]"
3,0.5974025974025974,0.6188461538461539,0.6099293964462504,0.6158171556807827,0.1748974323272705,2,"[1, 2]"
4,0.6883116883116883,0.706923076923077,0.6981475747254148,0.7049277104236128,0.14913415908813477,2,"[2, 8]"
5,0.5714285714285714,0.5822021116138764,0.5829855537720707,0.5812557270351505,0.14279890060424805,2,"[2, 6]"
6,0.6233766233766234,0.6214177978883861,0.6329366033226426,0.6213885099044939,0.15627336502075195,2,"[1, 2]"
7,0.6623376623376623,0.6414027149321266,0.6675059634243308,0.6381534447172755,0.15619301795959473,2,"[1, 2]"
8,0.5921052631578947,0.583921568627451,0.6034790365744871,0.5834313643118144,0.1562330722808838,2,"[2, 6]"
9,0.6973684210526315,0.7031372549019608,0.7058070271359098,0.7029350233548073,0.19174528121948242,2,"[2, 6]"
10,0.5921052631578947,0.6043137254901961,0.604399575718322,0.6032591222911188,0.20416617393493652,2,"[2, 6]"
