fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9649122807017544,0.9580882352941176,0.9649122807017544,0.9579389640386956,2.2750258445739746,7,"[8, 11, 21, 22, 24, 25, 27]"
2,0.9824561403508771,0.9838709677419355,0.9824778463325031,0.9837387536759294,2.174673557281494,7,"[8, 14, 22, 24, 25, 27, 28]"
3,0.9824561403508771,0.9864864864864865,0.9825499264365392,0.9863939238321437,2.2704391479492188,6,"[14, 22, 24, 25, 28, 29]"
4,0.9824561403508771,0.9874999999999999,0.9825957298309064,0.9874208829065749,2.781461715698242,7,"[8, 14, 22, 24, 25, 27, 28]"
5,0.9473684210526315,0.9316239316239316,0.946949652612544,0.9306432539361503,2.336418390274048,7,"[11, 14, 22, 24, 25, 28, 29]"
6,0.9473684210526315,0.944375,0.9472362224241924,0.9440603794249602,2.328669309616089,7,"[7, 8, 19, 22, 24, 25, 28]"
7,1.0,1.0,1.0,1.0,2.2986536026000977,7,"[14, 22, 24, 25, 27, 28, 29]"
8,1.0,1.0,1.0,1.0,3.2166976928710938,6,"[11, 22, 24, 25, 27, 28]"
9,0.9298245614035088,0.9296296296296297,0.9298245614035088,0.9296222517045284,4.390244483947754,7,"[2, 8, 11, 22, 24, 25, 29]"
10,0.9464285714285714,0.9338549075391182,0.946061776061776,0.9330352433277145,3.8189079761505127,7,"[14, 22, 24, 25, 27, 28, 29]"
