fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9298245614035088,0.9321646341463415,0.9310113519091846,0.932149365190145,2.891897439956665,7,"[1, 2, 8, 21, 25, 28, 29]"
2,0.8771929824561403,0.9027777777777778,0.8793522267206477,0.8975274678557507,2.8969156742095947,7,"[1, 3, 8, 21, 22, 28, 29]"
3,0.8771929824561403,0.9146341463414633,0.8824831309041834,0.9106416928094863,2.776566743850708,7,"[1, 8, 21, 22, 27, 28, 29]"
4,0.9122807017543859,0.9418604651162791,0.9162187173883081,0.9400643223910575,2.8306336402893066,7,"[1, 3, 8, 21, 22, 28, 29]"
5,0.9122807017543859,0.919969512195122,0.9143745439548239,0.9198024708413506,2.8023104667663574,7,"[1, 2, 8, 21, 25, 28, 29]"
6,0.8771929824561403,0.8829365079365079,0.8786168319349098,0.8826667146213961,2.7698616981506348,7,"[1, 3, 8, 21, 22, 28, 29]"
7,0.9298245614035088,0.930952380952381,0.9311617458279846,0.9309493362512627,2.7352287769317627,7,"[1, 8, 21, 22, 27, 28, 29]"
8,0.9824561403508771,0.984375,0.9824889019935459,0.9842509842514764,2.7587366104125977,7,"[1, 2, 8, 21, 25, 28, 29]"
9,0.8245614035087719,0.8402597402597404,0.8268640350877193,0.8374357893586238,2.7593228816986084,7,"[1, 3, 8, 21, 22, 28, 29]"
10,0.9642857142857143,0.9736842105263158,0.9647429384271489,0.9733285267845752,2.754420280456543,7,"[1, 8, 21, 22, 25, 28, 29]"
