fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8947368421052632,0.888719512195122,0.8965170278637772,0.8886136091358625,0.4659996032714844,2,"[8, 22]"
2,0.8421052631578947,0.8650793650793651,0.8448814343551185,0.8606629658238704,0.46967053413391113,2,"[8, 22]"
3,0.8245614035087719,0.8208841463414633,0.8298095666516719,0.8208413292499824,0.4552934169769287,2,"[8, 22]"
4,0.8771929824561403,0.8704318936877077,0.8809158535670696,0.8703304447487048,0.3510003089904785,2,"[8, 22]"
5,0.9122807017543859,0.919969512195122,0.9143745439548239,0.9198024708413506,0.43099260330200195,2,"[8, 22]"
6,0.8421052631578947,0.8452380952380952,0.8439359267734554,0.8451542547285166,0.4366302490234375,2,"[8, 22]"
7,0.8596491228070176,0.8833333333333333,0.8659469185784975,0.8819171036881969,0.4590001106262207,2,"[8, 22]"
8,0.9473684210526315,0.94875,0.9474667059806378,0.9486832980505138,0.4510002136230469,2,"[8, 22]"
9,0.7719298245614035,0.7974025974025973,0.7744694244116322,0.7895420339517227,0.42600011825561523,2,"[8, 22]"
10,0.9464285714285714,0.9459064327485381,0.9467953667953667,0.9459053029269172,0.422412633895874,2,"[8, 22]"
