fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.855072463768116,0.8452611218568666,0.782608695652174,0.8448272459119693,0.06952476501464844,1,[np.int64(8)]
2,0.8260869565217391,0.8405172413793103,0.8181818181818182,0.8356290217967334,0.13364696502685547,5,"[np.int64(4), np.int64(5), np.int64(8), np.int64(10), np.int64(14)]"
3,0.8695652173913043,0.8807692307692309,0.8656716417910447,0.876570629428153,0.1679985523223877,5,"[np.int64(4), np.int64(5), np.int64(8), np.int64(10), np.int64(14)]"
4,0.855072463768116,0.8655172413793103,0.84375,0.8630339426736915,0.2247297763824463,5,"[np.int64(4), np.int64(5), np.int64(8), np.int64(10), np.int64(14)]"
5,0.8695652173913043,0.8705882352941177,0.8767123287671232,0.8677218312746247,0.15263056755065918,5,"[np.int64(5), np.int64(8), np.int64(10), np.int64(12), np.int64(14)]"
6,0.8840579710144928,0.8952586206896552,0.875,0.8924974644994411,0.12716293334960938,5,"[np.int64(4), np.int64(5), np.int64(8), np.int64(10), np.int64(14)]"
7,0.8840579710144928,0.8855574324324325,0.8787878787878788,0.8853156407653622,0.09597563743591309,5,"[np.int64(4), np.int64(5), np.int64(8), np.int64(10), np.int64(14)]"
8,0.8115942028985508,0.8055555555555556,0.8395061728395061,0.7934920476158722,0.09366297721862793,5,"[np.int64(4), np.int64(5), np.int64(8), np.int64(10), np.int64(14)]"
9,0.8405797101449275,0.8397435897435898,0.819672131147541,0.8397191227596316,0.12572526931762695,5,"[np.int64(4), np.int64(5), np.int64(8), np.int64(10), np.int64(14)]"
10,0.855072463768116,0.8497474747474748,0.875,0.8408749651825217,0.13572335243225098,5,"[np.int64(4), np.int64(5), np.int64(8), np.int64(10), np.int64(14)]"
