fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7012987012987013,0.6933333333333334,0.6101694915254238,0.6928203230275509,0.011947870254516602,7,"[1, 2, 3, 5, 6, 7, 8]"
2,0.7922077922077922,0.7525510204081634,0.68,0.7383694904132875,0.010970115661621094,7,"[1, 2, 4, 5, 6, 7, 8]"
3,0.7272727272727273,0.6838461538461539,0.5714285714285714,0.672538245981366,0.01099085807800293,7,"[1, 2, 3, 5, 6, 7, 8]"
4,0.8311688311688312,0.759090909090909,0.6666666666666666,0.7402255631208102,0.009977102279663086,7,"[1, 2, 4, 5, 6, 7, 8]"
5,0.8181818181818182,0.7806122448979592,0.72,0.7683612488578245,0.009953498840332031,7,"[1, 2, 4, 5, 6, 7, 8]"
6,0.6753246753246753,0.643939393939394,0.5283018867924528,0.6053025562253994,0.007989168167114258,7,"[1, 2, 4, 5, 6, 7, 8]"
7,0.8441558441558441,0.8033333333333332,0.75,0.7916228058025278,0.008955240249633789,7,"[1, 2, 4, 5, 6, 7, 8]"
8,0.7662337662337663,0.6473684210526315,0.47058823529411764,0.5982430416161189,0.0089874267578125,7,"[1, 2, 4, 5, 6, 7, 8]"
9,0.6842105263157895,0.6480286738351254,0.5384615384615384,0.6175451458545025,0.009974956512451172,7,"[1, 2, 4, 5, 6, 7, 8]"
10,0.7894736842105263,0.7369614512471655,0.6521739130434783,0.7142857142857143,0.009974002838134766,7,"[1, 2, 3, 5, 6, 7, 8]"
