fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8771929824561403,0.8952991452991452,0.8804754954543057,0.8939492710133495,0.106597900390625,10,"[4, 5, 6, 8, 18, 22, 23, 24, 29, 30]"
2,0.8596491228070176,0.868421052631579,0.8624338624338624,0.868022236972139,0.22330236434936523,10,"[4, 6, 8, 10, 22, 23, 24, 26, 29, 30]"
3,0.8771929824561403,0.8815789473684212,0.8791624902550396,0.8814807486549593,0.17185640335083008,10,"[2, 5, 6, 8, 18, 21, 22, 23, 29, 30]"
4,0.7894736842105263,0.7763157894736843,0.7918918918918919,0.7753115717187492,0.1900348663330078,10,"[4, 5, 6, 8, 11, 18, 22, 26, 29, 30]"
5,0.8421052631578947,0.8157894736842105,0.840996840996841,0.8119604537127111,0.18748116493225098,10,"[2, 5, 6, 8, 18, 21, 22, 23, 29, 30]"
6,0.8596491228070176,0.868421052631579,0.8624338624338624,0.868022236972139,0.24997282028198242,10,"[2, 4, 8, 10, 16, 17, 18, 23, 26, 29]"
7,0.8421052631578947,0.855263157894737,0.8457255158860137,0.8543517410919962,0.18780517578125,10,"[2, 4, 5, 6, 7, 8, 22, 23, 29, 30]"
8,0.8421052631578947,0.8289473684210527,0.843076923076923,0.8280069853974881,0.156233549118042,10,"[4, 5, 6, 8, 18, 22, 23, 26, 29, 30]"
9,0.8771929824561403,0.8815789473684212,0.8791624902550396,0.8814807486549593,0.17342400550842285,10,"[5, 9, 17, 18, 21, 22, 23, 26, 28, 30]"
10,0.875,0.8932748538011696,0.8782205427688081,0.8918080720799182,0.23497438430786133,10,"[4, 5, 6, 8, 18, 21, 22, 23, 29, 30]"
