fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.7463768115942031,0.7263424518743669,0.7421082385212816,0.2083907127380371,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,0.7012987012987013,0.717948717948718,0.7093224236081379,0.7161148740394329,0.1502518653869629,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
3,0.6623376623376623,0.6583333333333334,0.6814362108479756,0.6582805886043833,0.15230774879455566,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
4,0.7402597402597403,0.7765384615384615,0.7484668109668109,0.7696152885095854,0.15151143074035645,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
5,0.7662337662337663,0.7702448210922787,0.7808206286467156,0.7702079842374077,0.1493673324584961,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
6,0.6883116883116883,0.6964539007092198,0.6921491641053884,0.6954767740639591,0.14897704124450684,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
7,0.7012987012987013,0.6950354609929077,0.703486989201275,0.6944562646748169,0.19853544235229492,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
8,0.6447368421052632,0.6653846153846155,0.6537205081669692,0.6621642835894567,0.15026116371154785,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
9,0.6578947368421053,0.6649831649831649,0.6731672932330827,0.664770029347888,0.15284228324890137,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
10,0.6973684210526315,0.7467532467532467,0.713308010321046,0.7385489458759964,0.1489861011505127,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
