fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8947368421052632,0.9080882352941176,0.8975069252077561,0.9074852129730301,0.2986764907836914,1,[8]
2,0.9122807017543859,0.9162531017369728,0.9124428946016814,0.9151333141298447,0.3000006675720215,1,[8]
3,0.9473684210526315,0.9479729729729729,0.9476497793096172,0.9479708057997612,0.28861141204833984,1,[23]
4,0.9298245614035088,0.9161764705882353,0.9298245614035088,0.9155519068396106,0.33948516845703125,1,[8]
5,0.8245614035087719,0.7970085470085471,0.8245614035087719,0.7934920476158722,0.30867433547973633,1,[23]
6,0.8070175438596491,0.815,0.8076122509663991,0.812403840463596,0.29900050163269043,1,[8]
7,0.8947368421052632,0.9080882352941176,0.8975069252077561,0.9074852129730301,0.3600006103515625,1,[8]
8,0.8947368421052632,0.8908188585607942,0.8942763157894736,0.8896984182487024,0.29799985885620117,1,[24]
9,0.8771929824561403,0.8703703703703703,0.8744630709832696,0.8606629658238704,0.3080003261566162,1,[24]
10,0.9107142857142857,0.9196301564722617,0.9120945183294891,0.9192117347876201,0.2950003147125244,1,[23]
