fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.7157692307692307,0.7220853858784894,0.7157567270432688,0.3140237331390381,2,"[2, 6]"
2,0.7402597402597403,0.7246153846153847,0.7446849446849447,0.723240570679579,0.37449002265930176,2,"[2, 8]"
3,0.6623376623376623,0.6773076923076923,0.6729932059525326,0.6759608545789296,0.375960111618042,2,"[2, 8]"
4,0.6753246753246753,0.6973076923076923,0.6856318284889714,0.6944837595708716,0.31293559074401855,2,"[2, 8]"
5,0.6883116883116883,0.7173076923076923,0.6981601731601732,0.7125253031944253,0.34375643730163574,2,"[2, 8]"
6,0.7012987012987013,0.6853846153846155,0.7073330709694345,0.6838803314120883,0.2990128993988037,2,"[2, 8]"
7,0.7402597402597403,0.7473604826546003,0.7465229805655337,0.747040414970163,0.3437068462371826,2,"[2, 6]"
8,0.6578947368421053,0.6329411764705882,0.6635835620798026,0.6287241983947006,0.3473701477050781,2,"[2, 6]"
9,0.6710526315789473,0.6631372549019607,0.6791320406278855,0.6627334956636112,0.2974262237548828,2,"[2, 8]"
10,0.7368421052631579,0.712156862745098,0.7392712550607289,0.7084919084320762,0.3437192440032959,2,"[2, 8]"
