fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6233766233766234,0.6276923076923078,0.5245901639344263,0.6275716324421889,0.0748281478881836,5,"[1, 2, 5, 6, 8]"
2,0.6493506493506493,0.6598793363499246,0.5714285714285714,0.6590820436573076,0.0718071460723877,5,"[1, 2, 5, 6, 8]"
3,0.5974025974025974,0.5982456140350878,0.43636363636363634,0.5982430416161187,0.0698084831237793,5,"[1, 2, 5, 6, 8]"
4,0.7532467532467533,0.7757692307692308,0.6885245901639344,0.773105625184753,0.071807861328125,5,"[1, 2, 5, 6, 8]"
5,0.7012987012987013,0.668421052631579,0.5106382978723404,0.6649099662043687,0.07283210754394531,5,"[1, 2, 5, 6, 8]"
6,0.6233766233766234,0.6249999999999999,0.5915492957746479,0.6248966856757964,0.12067008018493652,5,"[1, 2, 5, 6, 8]"
7,0.6883116883116883,0.6791666666666668,0.625,0.67700320038633,0.07178854942321777,5,"[1, 2, 5, 6, 8]"
8,0.618421052631579,0.6314102564102564,0.5245901639344263,0.6304251719561152,0.07383012771606445,5,"[1, 2, 5, 6, 8]"
9,0.6447368421052632,0.6394230769230769,0.5263157894736842,0.6392603899459485,0.07081365585327148,4,"[1, 2, 6, 8]"
10,0.6710526315789473,0.6810897435897436,0.576271186440678,0.6805446536716203,0.07180666923522949,5,"[1, 2, 5, 6, 8]"
