fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9824561403508771,0.9857142857142857,0.9825239427070089,0.9856107606091623,0.17815661430358887,10,"[2, 8, 11, 15, 21, 22, 25, 28, 29, 30]"
2,0.9824561403508771,0.9857142857142857,0.9825239427070089,0.9856107606091623,0.18752479553222656,11,"[2, 8, 11, 15, 21, 22, 25, 27, 28, 29, 30]"
3,0.9824561403508771,0.986111111111111,0.982536590411502,0.9860132971832694,0.17294764518737793,11,"[2, 8, 11, 15, 21, 22, 25, 27, 28, 29, 30]"
4,0.9473684210526315,0.9285714285714286,0.9463967611336033,0.9258200997725514,0.18271374702453613,10,"[2, 8, 11, 15, 21, 25, 27, 28, 29, 30]"
5,0.9473684210526315,0.9384920634920634,0.947087062795646,0.9378857231185629,0.17191314697265625,10,"[2, 8, 11, 15, 21, 22, 25, 27, 29, 30]"
6,0.9649122807017544,0.9523809523809523,0.9645092460881936,0.9511897312113419,0.20430898666381836,11,"[2, 8, 11, 15, 21, 22, 25, 27, 28, 29, 30]"
7,0.9824561403508771,0.986111111111111,0.982536590411502,0.9860132971832694,0.17185568809509277,11,"[2, 8, 11, 15, 21, 22, 25, 27, 28, 29, 30]"
8,0.9298245614035088,0.9444444444444444,0.9308116839413111,0.9428090415820634,0.21872687339782715,11,"[2, 8, 11, 15, 21, 22, 25, 27, 28, 29, 30]"
9,0.9824561403508771,0.9761904761904762,0.9823623542652152,0.9759000729485332,0.17417263984680176,10,"[2, 8, 11, 15, 21, 22, 25, 27, 29, 30]"
10,1.0,1.0,1.0,1.0,0.1719062328338623,9,"[2, 8, 11, 15, 21, 25, 27, 29, 30]"
