fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6129032258064516,0.6029411764705881,0.6087675765095119,0.5940885257860046,0.10099959373474121,2,"[3, 13]"
2,0.8064516129032258,0.8309523809523808,0.8123938879456706,0.828078671210825,0.0970003604888916,2,"[3, 13]"
3,0.6333333333333333,0.6383928571428572,0.6321097515758249,0.6338656910463875,0.12458586692810059,2,"[3, 13]"
4,0.7333333333333333,0.7083333333333335,0.7282296650717704,0.6972166887783964,0.17399978637695312,2,"[3, 13]"
5,0.7,0.6944444444444443,0.7017142857142857,0.693888666488711,0.15900039672851562,2,"[3, 13]"
6,0.6333333333333333,0.611111111111111,0.6303172737955347,0.6009252125773316,0.09900045394897461,2,"[3, 13]"
7,0.8666666666666667,0.8755980861244019,0.8685185185185186,0.8749572785196141,0.14308547973632812,2,"[3, 13]"
8,0.7,0.7222222222222223,0.7016685205784206,0.7136240321480628,0.12299990653991699,2,"[3, 13]"
9,0.7,0.715909090909091,0.7164835164835165,0.7150969419341943,0.1501617431640625,2,"[3, 13]"
10,0.7,0.7083333333333334,0.7030303030303031,0.7071067811865476,0.11900043487548828,2,"[3, 13]"
