fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8333333333333334,0.8235294117647058,0.8636363636363636,0.8043996665398437,0.1903693675994873,7,"[np.int64(1), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(31)]"
2,0.8857142857142857,0.8690476190476191,0.9090909090909091,0.865042958313569,0.1406099796295166,7,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(10), np.int64(15)]"
3,0.8571428571428571,0.8333333333333334,0.8888888888888888,0.816496580927726,0.09373879432678223,7,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(10), np.int64(15)]"
4,0.6857142857142857,0.680921052631579,0.717948717948718,0.6786208925382962,0.1562352180480957,7,"[np.int64(1), np.int64(3), np.int64(5), np.int64(8), np.int64(9), np.int64(18), np.int64(31)]"
5,0.7714285714285715,0.738095238095238,0.8260869565217391,0.7190318509781667,0.15750718116760254,7,"[np.int64(1), np.int64(4), np.int64(5), np.int64(8), np.int64(9), np.int64(10), np.int64(15)]"
6,0.8285714285714286,0.76,0.8846153846153846,0.7429670248402684,0.23431062698364258,7,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(10), np.int64(15)]"
7,0.8,0.7941176470588236,0.8372093023255814,0.7669649888473704,0.1406106948852539,7,"[np.int64(1), np.int64(5), np.int64(7), np.int64(8), np.int64(10), np.int64(15), np.int64(18)]"
8,0.8857142857142857,0.8823529411764706,0.9,0.8744746321952062,0.14266490936279297,7,"[np.int64(1), np.int64(3), np.int64(5), np.int64(8), np.int64(10), np.int64(15), np.int64(18)]"
9,0.9428571428571428,0.9090909090909091,0.96,0.9045340337332909,0.15763497352600098,7,"[np.int64(1), np.int64(3), np.int64(5), np.int64(8), np.int64(10), np.int64(15), np.int64(31)]"
10,0.8857142857142857,0.8532608695652174,0.9166666666666666,0.8469895538599199,0.12563347816467285,7,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(10), np.int64(15)]"
