fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7741935483870968,0.7735042735042735,0.7751493428912785,0.7734924681537619,0.10853338241577148,6,"[1, 2, 3, 9, 11, 13]"
2,0.5806451612903226,0.6068376068376068,0.5745103987595646,0.5847053462046862,0.07811689376831055,6,"[1, 2, 3, 10, 11, 13]"
3,0.7333333333333333,0.736111111111111,0.7357466063348416,0.7359800721939872,0.06299114227294922,6,"[1, 2, 3, 9, 10, 13]"
4,0.6333333333333333,0.638888888888889,0.6370370370370371,0.6382847385042254,0.10704708099365234,6,"[2, 3, 9, 11, 12, 13]"
5,0.6333333333333333,0.611111111111111,0.6303172737955347,0.6009252125773316,0.06249356269836426,6,"[2, 3, 9, 11, 12, 13]"
6,0.8,0.7916666666666667,0.8,0.7905694150420949,0.06249499320983887,6,"[1, 2, 3, 10, 12, 13]"
7,0.8,0.7777777777777777,0.7961722488038276,0.769800358919501,0.06308627128601074,6,"[3, 4, 9, 11, 12, 13]"
8,0.6666666666666666,0.6944444444444444,0.6666666666666666,0.6804138174397717,0.04687023162841797,6,"[2, 3, 9, 11, 12, 13]"
9,0.7,0.6805555555555556,0.6975323149236193,0.6735753140545634,0.14120221138000488,6,"[1, 2, 3, 9, 11, 13]"
10,0.7333333333333333,0.7375565610859728,0.7345238095238095,0.7368761261836121,0.05212593078613281,6,"[1, 2, 3, 11, 12, 13]"
