fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.7916666666666667,0.804945054945055,0.7817359599705715,0.09771919250488281,14,"[2, 4, 5, 9, 12, 21, 27, 29, 30, 41, 47, 49, 56, 59]"
2,0.5714285714285714,0.5555555555555555,0.5673949579831932,0.5443310539518174,0.09373950958251953,16,"[4, 5, 9, 12, 21, 28, 29, 30, 41, 47, 49, 52, 53, 56, 58, 59]"
3,0.5714285714285714,0.5694444444444445,0.5733899967309578,0.5692750425533111,0.10936284065246582,15,"[4, 5, 9, 12, 21, 28, 29, 30, 38, 47, 49, 54, 57, 58, 59]"
4,0.6190476190476191,0.5972222222222222,0.6098901098901098,0.5773502691896257,0.09374022483825684,13,"[4, 5, 9, 12, 21, 27, 28, 30, 47, 49, 54, 58, 59]"
5,0.6190476190476191,0.6111111111111112,0.6190476190476191,0.6085806194501846,0.09373927116394043,14,"[5, 9, 12, 21, 26, 27, 28, 29, 30, 47, 49, 54, 58, 59]"
6,0.8095238095238095,0.8055555555555556,0.8095238095238095,0.8050764858994133,0.09392094612121582,14,"[1, 4, 5, 9, 11, 12, 21, 27, 29, 30, 47, 49, 58, 59]"
7,0.8571428571428571,0.875,0.8571428571428571,0.8660254037844386,0.09373974800109863,14,"[5, 9, 12, 21, 27, 29, 30, 41, 47, 49, 52, 54, 58, 59]"
8,0.6666666666666666,0.6826923076923077,0.6712433257055682,0.6793662204867574,0.0944063663482666,15,"[4, 5, 9, 12, 21, 24, 28, 29, 30, 47, 49, 54, 56, 58, 59]"
9,0.8,0.75,0.7809523809523808,0.7071067811865476,0.09373998641967773,14,"[4, 5, 9, 12, 21, 28, 29, 30, 41, 47, 49, 54, 58, 59]"
10,0.6,0.6458333333333334,0.5878787878787879,0.60380736442456,0.1532137393951416,16,"[4, 5, 9, 12, 21, 24, 26, 27, 29, 30, 41, 49, 53, 54, 58, 59]"
