fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.798076923076923,0.8095238095238095,0.7966275068156915,0.4106473922729492,6,"[12, 21, 28, 45, 54, 59]"
2,0.5714285714285714,0.6500000000000001,0.5996638655462185,0.6324555320336759,0.4050636291503906,6,"[4, 12, 21, 30, 47, 51]"
3,0.6190476190476191,0.6090909090909091,0.6007326007326007,0.5720775535473555,0.18164300918579102,6,"[4, 12, 21, 29, 46, 49]"
4,0.7619047619047619,0.7836538461538461,0.7651738040754059,0.7783117824941562,0.22600030899047852,6,"[4, 12, 21, 29, 49, 52]"
5,0.7619047619047619,0.7727272727272727,0.7507002801120448,0.7385489458759964,0.39385104179382324,6,"[4, 12, 21, 28, 39, 47]"
6,0.7142857142857143,0.7142857142857143,0.7211538461538461,0.7142857142857143,0.2805943489074707,6,"[1, 12, 21, 28, 45, 59]"
7,0.6190476190476191,0.6090909090909091,0.6007326007326007,0.5720775535473555,0.3879997730255127,6,"[12, 21, 29, 39, 47, 59]"
8,0.6190476190476191,0.6272727272727273,0.6084656084656085,0.6030226891555273,0.2460005283355713,6,"[12, 21, 29, 49, 54, 59]"
9,0.75,0.7424242424242425,0.7480818414322251,0.7385489458759964,0.2700002193450928,6,"[12, 21, 29, 49, 52, 59]"
10,0.55,0.5416666666666667,0.553452685421995,0.5400617248673217,0.41099977493286133,6,"[1, 12, 21, 29, 49, 52]"
