fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.6971153846153847,0.7142857142857143,0.6933752452815364,0.19106841087341309,1,[12]
2,0.6190476190476191,0.6125,0.6462585034013605,0.6123724356957945,0.2166752815246582,1,[12]
3,0.5714285714285714,0.5636363636363636,0.5593277310924369,0.5393598899705937,0.1490001678466797,1,[12]
4,0.8095238095238095,0.8221153846153846,0.8121693121693122,0.820412654142367,0.1400001049041748,1,[12]
5,0.6666666666666666,0.6681818181818182,0.6666666666666666,0.6674238124719146,0.17199993133544922,1,[11]
6,0.8571428571428571,0.8214285714285715,0.8541114058355438,0.8144110179279558,0.1912841796875,1,[12]
7,0.6190476190476191,0.6136363636363636,0.6137566137566137,0.6030226891555273,0.18959641456604004,1,[12]
8,0.6190476190476191,0.6272727272727273,0.6084656084656085,0.6030226891555273,0.14673781394958496,1,[12]
9,0.9,0.8888888888888888,0.8979166666666666,0.8819171036881969,0.21660709381103516,1,[12]
10,0.65,0.625,0.6453333333333333,0.6123724356957945,0.2109999656677246,1,[12]
