fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8055555555555556,0.7941176470588236,0.7954732510288065,0.7669649888473704,0.11300015449523926,12,"[1, 3, 4, 5, 7, 8, 9, 10, 14, 15, 31, 33]"
2,0.8571428571428571,0.8214285714285714,0.849213691026827,0.8017837257372732,0.16000127792358398,12,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 15, 18, 31]"
3,0.8571428571428571,0.8333333333333334,0.8507936507936508,0.816496580927726,0.12599992752075195,13,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 14, 15, 21, 31]"
4,0.7142857142857143,0.6924342105263157,0.6915113871635612,0.643796306459214,0.1380007266998291,13,"[1, 3, 5, 6, 7, 8, 9, 10, 14, 18, 29, 31, 33]"
5,0.7714285714285715,0.738095238095238,0.7623188405797101,0.7190318509781667,0.10499978065490723,11,"[1, 3, 4, 5, 7, 8, 9, 10, 25, 31, 33]"
6,0.8285714285714286,0.76,0.8223443223443222,0.7429670248402684,0.12100005149841309,12,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 14, 15, 31]"
7,0.8,0.7941176470588236,0.790353143841516,0.7669649888473704,0.21399998664855957,13,"[1, 3, 5, 6, 7, 8, 9, 10, 12, 15, 18, 31, 33]"
8,0.8857142857142857,0.8823529411764706,0.8838095238095238,0.8744746321952062,0.14103436470031738,13,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 18, 29, 31, 33]"
9,0.8285714285714286,0.7272727272727273,0.8059523809523809,0.674199862463242,0.10505175590515137,11,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 31]"
10,0.8571428571428571,0.8115942028985508,0.8513119533527697,0.7985494095046904,0.12299966812133789,13,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 16, 33]"
