fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6129032258064516,0.6029411764705881,0.6087675765095119,0.5940885257860046,0.10794925689697266,2,"[3, 13]"
2,0.8064516129032258,0.8309523809523808,0.8123938879456706,0.828078671210825,0.13500523567199707,2,"[3, 13]"
3,0.6333333333333333,0.6383928571428572,0.6321097515758249,0.6338656910463875,0.11664319038391113,2,"[3, 13]"
4,0.7333333333333333,0.7083333333333335,0.7282296650717704,0.6972166887783964,0.10900020599365234,2,"[3, 13]"
5,0.7,0.6944444444444443,0.7017142857142857,0.693888666488711,0.12000036239624023,2,"[3, 13]"
6,0.6333333333333333,0.611111111111111,0.6303172737955347,0.6009252125773316,0.14627385139465332,2,"[3, 13]"
7,0.8666666666666667,0.8755980861244019,0.8685185185185186,0.8749572785196141,0.18759512901306152,2,"[3, 13]"
8,0.7,0.7222222222222223,0.7016685205784206,0.7136240321480628,0.09100031852722168,2,"[3, 13]"
9,0.7,0.715909090909091,0.7164835164835165,0.7150969419341943,0.11500024795532227,2,"[3, 13]"
10,0.7,0.7083333333333334,0.7030303030303031,0.7071067811865476,0.14500069618225098,2,"[3, 13]"
