fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8064516129032258,0.7905982905982907,0.8034804753820033,0.7844645405527361,0.055001020431518555,10,"[1, 2, 3, 6, 7, 9, 10, 11, 12, 13]"
2,0.7741935483870968,0.7752100840336134,0.774665453197155,0.7751389140885998,0.05500054359436035,12,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13]"
3,0.6774193548387096,0.6901709401709403,0.678763440860215,0.6856277926728687,0.05399918556213379,11,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13]"
4,0.8666666666666667,0.8642533936651584,0.8666666666666667,0.864063848822313,0.05399966239929199,10,"[1, 2, 3, 6, 7, 9, 10, 11, 12, 13]"
5,0.7666666666666667,0.7666666666666667,0.7664071190211346,0.7659416862050705,0.054000139236450195,12,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]"
6,0.8666666666666667,0.8947368421052632,0.869079939668175,0.8885233166386386,0.053999900817871094,11,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13]"
7,0.6666666666666666,0.625,0.65,0.5892556509887896,0.05399942398071289,10,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13]"
8,0.7666666666666667,0.8055555555555556,0.7648498331479421,0.7817359599705717,0.053999900817871094,11,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13]"
9,0.7333333333333333,0.6805555555555556,0.7079365079365079,0.6273105439242341,0.09199953079223633,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
10,0.8,0.7963800904977375,0.8,0.7959171834405434,0.05299949645996094,11,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13]"
