fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7662337662337663,0.795990566037736,0.7,0.7920596508887684,0.0827779769897461,4,"[1, 2, 6, 8]"
2,0.7142857142857143,0.721938775510204,0.65625,0.7213932098830056,0.07325339317321777,4,"[1, 2, 6, 8]"
3,0.7532467532467533,0.7616747181964573,0.6545454545454545,0.7613869876268811,0.07014918327331543,4,"[1, 2, 6, 8]"
4,0.7272727272727273,0.7562893081761007,0.6557377049180327,0.7523547938632787,0.07307958602905273,4,"[1, 2, 6, 8]"
5,0.8311688311688312,0.8409090909090908,0.7450980392156863,0.8406019094957695,0.12317609786987305,4,"[1, 2, 6, 8]"
6,0.7012987012987013,0.7270408163265306,0.6666666666666666,0.7208878555583699,0.0718085765838623,4,"[1, 2, 6, 8]"
7,0.7272727272727273,0.7215277777777778,0.676923076923077,0.7207249436813217,0.07476925849914551,4,"[1, 2, 6, 8]"
8,0.631578947368421,0.6374077112387202,0.5172413793103449,0.6372366511986304,0.14658093452453613,4,"[1, 2, 6, 8]"
9,0.6447368421052632,0.6422558922558922,0.509090909090909,0.6422288629903771,0.10272359848022461,4,"[1, 2, 6, 8]"
10,0.7236842105263158,0.7533333333333334,0.6666666666666666,0.7483314773547882,0.07380247116088867,4,"[1, 2, 6, 8]"
