fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.7740384615384615,0.8027210884353742,0.75955452531275,0.20859694480895996,10,"[4, 12, 21, 28, 30, 39, 47, 53, 54, 59]"
2,0.6190476190476191,0.68125,0.6465201465201466,0.6708203932499369,0.2330002784729004,10,"[4, 11, 12, 21, 27, 30, 47, 51, 52, 59]"
3,0.6190476190476191,0.6090909090909091,0.6007326007326007,0.5720775535473555,0.16000056266784668,10,"[4, 12, 21, 28, 29, 39, 46, 49, 54, 59]"
4,0.7142857142857143,0.7451923076923077,0.7168831168831169,0.7337993857053429,0.15881943702697754,10,"[5, 11, 12, 21, 28, 29, 47, 49, 52, 53]"
5,0.6666666666666666,0.6772727272727272,0.6509803921568628,0.6396021490668313,0.2116711139678955,10,"[4, 12, 21, 28, 30, 39, 47, 53, 54, 58]"
6,0.8095238095238095,0.7857142857142858,0.8095238095238095,0.7824607964359516,0.1680002212524414,10,"[1, 12, 21, 28, 30, 39, 47, 52, 54, 59]"
7,0.6666666666666666,0.6590909090909092,0.6572549019607843,0.6396021490668313,0.18504095077514648,10,"[4, 12, 21, 27, 30, 39, 43, 47, 52, 59]"
8,0.5714285714285714,0.5772727272727273,0.5655442955214122,0.5640760748177662,0.16900038719177246,10,"[4, 12, 21, 28, 29, 45, 49, 53, 54, 59]"
9,0.85,0.8535353535353535,0.8503759398496241,0.8528028654224418,0.38300013542175293,10,"[4, 12, 21, 29, 39, 44, 49, 52, 54, 59]"
10,0.65,0.6666666666666666,0.6526315789473685,0.6614378277661477,0.20400047302246094,10,"[1, 4, 12, 21, 27, 29, 39, 49, 52, 59]"
