fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8055555555555556,0.7941176470588236,0.8444444444444444,0.7669649888473704,0.03789806365966797,5,"[1, 3, 5, 7, 31]"
2,0.8285714285714286,0.8095238095238095,0.8636363636363636,0.8039020483873397,0.03591156005859375,5,"[1, 3, 5, 7, 31]"
3,0.8571428571428571,0.8333333333333334,0.8888888888888888,0.816496580927726,0.0368809700012207,5,"[1, 3, 5, 7, 31]"
4,0.6857142857142857,0.6759868421052632,0.7317073170731707,0.666392487478979,0.036896705627441406,5,"[1, 3, 5, 7, 31]"
5,0.7714285714285715,0.738095238095238,0.8260869565217391,0.7190318509781667,0.034883975982666016,5,"[1, 3, 5, 7, 31]"
6,0.8,0.71,0.8679245283018868,0.6782329983125268,0.0359036922454834,5,"[1, 3, 5, 7, 33]"
7,0.8285714285714286,0.8235294117647058,0.8571428571428571,0.8043996665398437,0.033908843994140625,5,"[1, 3, 5, 7, 31]"
8,0.8857142857142857,0.8823529411764706,0.9,0.8744746321952062,0.0349273681640625,4,"[1, 3, 5, 31]"
9,0.8571428571428571,0.7727272727272727,0.9056603773584906,0.7385489458759964,0.03490614891052246,4,"[1, 3, 5, 31]"
10,0.9142857142857143,0.875,0.9387755102040817,0.8660254037844386,0.035883426666259766,4,"[1, 3, 5, 31]"
