fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7662337662337663,0.795990566037736,0.7,0.7920596508887684,0.2293708324432373,6,"[1, 2, 5, 6, 7, 8]"
2,0.7272727272727273,0.7397959183673468,0.676923076923077,0.7383694904132875,0.17108535766601562,6,"[1, 2, 5, 6, 7, 8]"
3,0.6623376623376623,0.6469404186795491,0.5185185185185185,0.6458089834898549,0.17335104942321777,5,"[1, 2, 6, 7, 8]"
4,0.7402597402597403,0.777122641509434,0.6774193548387096,0.7709342531250699,0.16654133796691895,5,"[1, 2, 6, 7, 8]"
5,0.8181818181818182,0.831818181818182,0.7307692307692307,0.8312094145936335,0.17253684997558594,5,"[1, 2, 6, 7, 8]"
6,0.7272727272727273,0.7474489795918368,0.6865671641791045,0.7437788630262008,0.172027587890625,5,"[1, 2, 6, 7, 8]"
7,0.7272727272727273,0.7215277777777778,0.676923076923077,0.7207249436813217,0.2223827838897705,5,"[1, 2, 6, 7, 8]"
8,0.6447368421052632,0.6714520098441346,0.5573770491803278,0.6680325084317192,0.169508695602417,5,"[1, 2, 6, 7, 8]"
9,0.6578947368421053,0.6649831649831649,0.5357142857142857,0.664770029347888,0.17412948608398438,5,"[1, 2, 6, 7, 8]"
10,0.75,0.7831372549019607,0.6984126984126984,0.7771239081558686,0.1732959747314453,6,"[1, 2, 5, 6, 7, 8]"
