fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7142857142857143,0.7033333333333333,0.6206896551724138,0.7023769168568492,0.005995035171508789,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
2,0.7922077922077922,0.760204081632653,0.6923076923076923,0.7510924987582835,0.006981611251831055,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
3,0.7272727272727273,0.6838461538461539,0.5714285714285714,0.672538245981366,0.008006811141967773,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
4,0.8181818181818182,0.7499999999999999,0.65,0.7329325225725954,0.007999420166015625,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
5,0.8181818181818182,0.7806122448979592,0.72,0.7683612488578245,0.005955219268798828,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
6,0.6753246753246753,0.643939393939394,0.5283018867924528,0.6053025562253994,0.005983114242553711,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
7,0.8701298701298701,0.8318518518518518,0.7916666666666666,0.8219218670625302,0.007012605667114258,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
8,0.7662337662337663,0.6473684210526315,0.47058823529411764,0.5982430416161189,0.005983591079711914,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
9,0.6973684210526315,0.6641577060931899,0.5660377358490566,0.6392199547398645,0.005995750427246094,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
10,0.7894736842105263,0.7369614512471655,0.6521739130434783,0.7142857142857143,0.0069921016693115234,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
