fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7096774193548387,0.7100840336134453,0.710284154110628,0.7100716024967264,0.03400015830993652,12,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13]"
2,0.8064516129032258,0.8309523809523808,0.8123938879456706,0.828078671210825,0.06600022315979004,11,"[1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13]"
3,0.6,0.6071428571428572,0.5964285714285714,0.5976143046671968,0.03199934959411621,12,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13]"
4,0.7666666666666667,0.75,0.7647473560517039,0.7453559924999299,0.034000396728515625,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13]"
5,0.7,0.6944444444444443,0.7017142857142857,0.693888666488711,0.03300023078918457,11,"[1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13]"
6,0.7333333333333333,0.7083333333333335,0.7282296650717704,0.6972166887783964,0.03199958801269531,11,"[1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13]"
7,0.8333333333333334,0.8492822966507176,0.8361904761904762,0.8471737420873575,0.035999298095703125,10,"[1, 2, 3, 5, 7, 9, 10, 11, 12, 13]"
8,0.8,0.8055555555555555,0.8018099547511313,0.8050764858994133,0.03199958801269531,11,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13]"
9,0.6666666666666666,0.6931818181818181,0.6858054226475279,0.6908492797077574,0.03200030326843262,10,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 13]"
10,0.7,0.7083333333333334,0.7030303030303031,0.7071067811865476,0.031000375747680664,10,"[1, 2, 3, 5, 7, 9, 10, 11, 12, 13]"
