fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9649122807017544,0.9580882352941176,0.9649122807017544,0.9579389640386956,0.10371994972229004,9,"[1, 11, 21, 22, 24, 25, 27, 28, 29]"
2,0.9824561403508771,0.9838709677419355,0.9824778463325031,0.9837387536759294,0.19460368156433105,9,"[8, 14, 21, 22, 24, 25, 27, 28, 29]"
3,0.9824561403508771,0.9864864864864865,0.9825499264365392,0.9863939238321437,0.10703349113464355,9,"[8, 11, 14, 21, 22, 24, 25, 28, 29]"
4,0.9824561403508771,0.9874999999999999,0.9825957298309064,0.9874208829065749,0.19900012016296387,9,"[8, 14, 21, 22, 24, 25, 27, 28, 29]"
5,0.9649122807017544,0.9444444444444444,0.9643188854489164,0.9428090415820634,0.1080467700958252,9,"[11, 14, 21, 22, 24, 25, 27, 28, 29]"
6,0.9473684210526315,0.944375,0.9472362224241924,0.9440603794249602,0.1336205005645752,9,"[8, 14, 19, 21, 22, 23, 24, 25, 27]"
7,1.0,1.0,1.0,1.0,0.10499954223632812,9,"[11, 14, 21, 22, 24, 25, 27, 28, 29]"
8,1.0,1.0,1.0,1.0,0.17299962043762207,9,"[11, 14, 21, 22, 24, 25, 27, 28, 29]"
9,0.9473684210526315,0.9462962962962963,0.9473033031077539,0.9460770203292445,0.1679997444152832,9,"[2, 4, 11, 21, 22, 24, 25, 28, 29]"
10,0.9464285714285714,0.9338549075391182,0.946061776061776,0.9330352433277145,0.09500670433044434,9,"[11, 14, 21, 22, 24, 25, 27, 28, 29]"
