fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.7740384615384615,0.8571428571428571,0.75955452531275,0.1447467803955078,15,"[np.int64(1), np.int64(4), np.int64(12), np.int64(19), np.int64(21), np.int64(24), np.int64(28), np.int64(29), np.int64(39), np.int64(47), np.int64(49), np.int64(52), np.int64(53), np.int64(54), np.int64(59)]"
2,0.5714285714285714,0.6500000000000001,0.64,0.6324555320336759,0.1406102180480957,15,"[np.int64(1), np.int64(4), np.int64(5), np.int64(11), np.int64(12), np.int64(21), np.int64(26), np.int64(27), np.int64(30), np.int64(32), np.int64(47), np.int64(51), np.int64(52), np.int64(54), np.int64(59)]"
3,0.6190476190476191,0.6090909090909091,0.6923076923076923,0.5720775535473555,0.06249356269836426,15,"[np.int64(4), np.int64(11), np.int64(12), np.int64(21), np.int64(28), np.int64(29), np.int64(30), np.int64(39), np.int64(45), np.int64(47), np.int64(49), np.int64(52), np.int64(53), np.int64(54), np.int64(59)]"
4,0.7619047619047619,0.7836538461538461,0.782608695652174,0.7783117824941562,0.07811594009399414,15,"[np.int64(4), np.int64(5), np.int64(11), np.int64(12), np.int64(21), np.int64(28), np.int64(29), np.int64(39), np.int64(45), np.int64(47), np.int64(49), np.int64(51), np.int64(52), np.int64(53), np.int64(59)]"
5,0.6190476190476191,0.6318181818181818,0.6923076923076923,0.5720775535473553,0.14065885543823242,15,"[np.int64(2), np.int64(4), np.int64(11), np.int64(12), np.int64(21), np.int64(22), np.int64(28), np.int64(29), np.int64(39), np.int64(47), np.int64(49), np.int64(52), np.int64(53), np.int64(54), np.int64(59)]"
6,0.8095238095238095,0.7857142857142858,0.8571428571428571,0.7824607964359516,0.1562333106994629,15,"[np.int64(1), np.int64(4), np.int64(12), np.int64(21), np.int64(24), np.int64(28), np.int64(29), np.int64(39), np.int64(45), np.int64(49), np.int64(51), np.int64(52), np.int64(53), np.int64(54), np.int64(59)]"
7,0.6190476190476191,0.6090909090909091,0.6923076923076923,0.5720775535473555,0.10936236381530762,15,"[np.int64(4), np.int64(12), np.int64(21), np.int64(24), np.int64(27), np.int64(29), np.int64(30), np.int64(39), np.int64(43), np.int64(45), np.int64(47), np.int64(51), np.int64(52), np.int64(58), np.int64(59)]"
8,0.6190476190476191,0.6227272727272727,0.6363636363636364,0.6179143806533246,0.09374022483825684,15,"[np.int64(4), np.int64(12), np.int64(19), np.int64(21), np.int64(23), np.int64(28), np.int64(29), np.int64(39), np.int64(42), np.int64(45), np.int64(47), np.int64(49), np.int64(53), np.int64(54), np.int64(59)]"
9,0.8,0.8080808080808081,0.8,0.8040302522073697,0.13600754737854004,15,"[np.int64(5), np.int64(11), np.int64(12), np.int64(21), np.int64(28), np.int64(29), np.int64(30), np.int64(39), np.int64(44), np.int64(47), np.int64(49), np.int64(51), np.int64(52), np.int64(58), np.int64(59)]"
10,0.55,0.5625,0.5714285714285714,0.5590169943749475,0.15793442726135254,15,"[np.int64(1), np.int64(4), np.int64(5), np.int64(12), np.int64(21), np.int64(23), np.int64(28), np.int64(29), np.int64(39), np.int64(44), np.int64(49), np.int64(51), np.int64(52), np.int64(53), np.int64(59)]"
