fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6944444444444444,0.725,0.6755769402120646,0.6708203932499369,5.353882074356079,8,"[1, 3, 4, 5, 7, 9, 14, 33]"
2,0.7428571428571429,0.7167832167832169,0.7405714285714287,0.7095748751868992,5.296611309051514,8,"[1, 3, 5, 7, 8, 9, 18, 33]"
3,0.7428571428571429,0.7166666666666666,0.7314285714285714,0.6928203230275509,5.451056003570557,8,"[1, 3, 4, 5, 7, 9, 14, 31]"
4,0.6,0.575,0.5874125874125874,0.5477225575051662,5.384487628936768,8,"[1, 3, 5, 6, 7, 8, 18, 31]"
5,0.6857142857142857,0.6661184210526316,0.6661587301587302,0.6256575488404601,5.361924648284912,8,"[1, 3, 4, 5, 7, 9, 14, 33]"
6,0.7428571428571429,0.6699999999999999,0.738611233967271,0.648074069840786,5.303107738494873,8,"[1, 3, 5, 7, 9, 14, 16, 33]"
7,0.7142857142857143,0.7416666666666667,0.7086466165413534,0.7164728420068226,5.415794134140015,8,"[1, 3, 5, 7, 8, 12, 18, 33]"
8,0.9142857142857143,0.9,0.9125138427464009,0.8944271909999159,5.397862195968628,8,"[1, 3, 5, 6, 7, 8, 18, 33]"
9,0.8285714285714286,0.76,0.8223443223443222,0.7429670248402684,5.4909656047821045,8,"[1, 4, 5, 6, 7, 9, 14, 31]"
10,0.8,0.7619047619047619,0.7888991674375578,0.7377111135633174,5.516565799713135,8,"[1, 3, 5, 7, 8, 14, 16, 33]"
