fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.798076923076923,0.8095238095238095,0.7966275068156915,0.4250001907348633,6,"[12, 21, 28, 45, 54, 59]"
2,0.5714285714285714,0.6500000000000001,0.5996638655462185,0.6324555320336759,0.39560627937316895,6,"[4, 12, 21, 30, 47, 51]"
3,0.6190476190476191,0.6090909090909091,0.6007326007326007,0.5720775535473555,0.1920006275177002,6,"[4, 12, 21, 29, 46, 49]"
4,0.7619047619047619,0.7836538461538461,0.7651738040754059,0.7783117824941562,0.19400429725646973,6,"[4, 12, 21, 29, 49, 52]"
5,0.7619047619047619,0.7727272727272727,0.7507002801120448,0.7385489458759964,0.38100290298461914,6,"[4, 12, 21, 28, 39, 47]"
6,0.7142857142857143,0.7142857142857143,0.7211538461538461,0.7142857142857143,0.31400012969970703,6,"[1, 12, 21, 28, 45, 59]"
7,0.6190476190476191,0.6090909090909091,0.6007326007326007,0.5720775535473555,0.39300036430358887,6,"[12, 21, 29, 39, 47, 59]"
8,0.6190476190476191,0.6272727272727273,0.6084656084656085,0.6030226891555273,0.2590005397796631,6,"[12, 21, 29, 49, 54, 59]"
9,0.75,0.7424242424242425,0.7480818414322251,0.7385489458759964,0.29364013671875,6,"[12, 21, 29, 49, 52, 59]"
10,0.55,0.5416666666666667,0.553452685421995,0.5400617248673217,0.47403573989868164,6,"[1, 12, 21, 29, 49, 52]"
