fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9649122807017544,0.9580882352941176,0.9649122807017544,0.9579389640386956,1.2060000896453857,7,"[8, 11, 21, 22, 24, 25, 29]"
2,0.9473684210526315,0.9454094292803971,0.9472701361246252,0.9451456227158638,1.2484157085418701,7,"[7, 8, 14, 22, 24, 25, 29]"
3,1.0,1.0,1.0,1.0,1.2475905418395996,7,"[8, 11, 22, 24, 25, 27, 29]"
4,0.9824561403508771,0.9874999999999999,0.9825957298309064,0.9874208829065749,1.2385883331298828,7,"[7, 11, 22, 23, 24, 25, 29]"
5,0.9649122807017544,0.9444444444444444,0.9643188854489164,0.9428090415820634,1.195585012435913,7,"[7, 11, 22, 24, 25, 28, 29]"
6,0.9473684210526315,0.944375,0.9472362224241924,0.9440603794249602,1.2286550998687744,7,"[7, 8, 22, 24, 25, 27, 29]"
7,1.0,1.0,1.0,1.0,1.2355995178222656,7,"[8, 11, 22, 24, 25, 27, 29]"
8,1.0,1.0,1.0,1.0,1.1989998817443848,7,"[7, 8, 11, 22, 24, 25, 29]"
9,0.9649122807017544,0.962962962962963,0.9648034478255192,0.9622504486493763,1.2340002059936523,7,"[2, 14, 22, 24, 25, 28, 29]"
10,0.9285714285714286,0.907539118065434,0.9275271512113618,0.905177143685657,1.201662302017212,7,"[8, 11, 22, 24, 25, 27, 29]"
