fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9473684210526315,0.9455882352941176,0.9142857142857143,0.945577943407535,0.4886929988861084,5,"[2, 15, 21, 28, 29]"
2,0.9824561403508771,0.9807692307692308,0.9803921568627451,0.9805806756909202,0.4009280204772949,5,"[8, 15, 21, 22, 29]"
3,0.9824561403508771,0.9864864864864865,0.975609756097561,0.9863939238321437,0.4637594223022461,5,"[15, 21, 22, 28, 29]"
4,0.9824561403508771,0.9874999999999999,0.9714285714285714,0.9874208829065749,0.4248795509338379,5,"[15, 21, 22, 28, 29]"
5,0.9473684210526315,0.9465811965811965,0.918918918918919,0.946578784893997,0.4687461853027344,5,"[15, 21, 22, 28, 29]"
6,0.9473684210526315,0.944375,0.9387755102040817,0.9440603794249602,0.40791797637939453,5,"[15, 21, 22, 28, 29]"
7,0.9649122807017544,0.9411764705882353,0.9375,0.9393364366277243,0.33310937881469727,5,"[15, 21, 22, 28, 29]"
8,1.0,1.0,1.0,1.0,0.42090797424316406,5,"[15, 21, 22, 28, 29]"
9,0.9122807017543859,0.912962962962963,0.9090909090909091,0.9128709291752769,0.43483734130859375,5,"[15, 21, 22, 28, 29]"
10,0.9821428571428571,0.9864864864864865,0.9743589743589743,0.9863939238321437,0.39394688606262207,5,"[2, 15, 21, 28, 29]"
