fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8055555555555556,0.7941176470588236,0.8444444444444444,0.7669649888473704,0.09924077987670898,3,"[np.int64(1), np.int64(3), np.int64(5)]"
2,0.8285714285714286,0.8095238095238095,0.8636363636363636,0.8039020483873397,0.1718578338623047,3,"[np.int64(1), np.int64(3), np.int64(5)]"
3,0.8571428571428571,0.8333333333333334,0.8888888888888888,0.816496580927726,0.09379267692565918,3,"[np.int64(1), np.int64(3), np.int64(5)]"
4,0.6857142857142857,0.6759868421052632,0.7317073170731707,0.666392487478979,0.11058878898620605,3,"[np.int64(1), np.int64(3), np.int64(5)]"
5,0.7714285714285715,0.738095238095238,0.8260869565217391,0.7190318509781667,0.10442566871643066,3,"[np.int64(1), np.int64(3), np.int64(5)]"
6,0.8,0.71,0.8679245283018868,0.6782329983125268,0.09448766708374023,3,"[np.int64(1), np.int64(3), np.int64(5)]"
7,0.8285714285714286,0.8235294117647058,0.8571428571428571,0.8043996665398437,0.09376978874206543,3,"[np.int64(1), np.int64(3), np.int64(5)]"
8,0.8857142857142857,0.8823529411764706,0.9,0.8744746321952062,0.1093900203704834,3,"[np.int64(1), np.int64(3), np.int64(5)]"
9,0.8285714285714286,0.7272727272727273,0.8888888888888888,0.674199862463242,0.10936260223388672,3,"[np.int64(1), np.int64(5), np.int64(8)]"
10,0.8857142857142857,0.8532608695652174,0.9166666666666666,0.8469895538599199,0.09464001655578613,3,"[np.int64(1), np.int64(5), np.int64(16)]"
