fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7222222222222222,0.75,0.708994708994709,0.7071067811865476,0.1510002613067627,11,"[1, 3, 4, 5, 7, 8, 9, 11, 14, 18, 33]"
2,0.7714285714285715,0.7237762237762237,0.7601731601731603,0.6996502622814412,0.13300085067749023,11,"[1, 3, 5, 7, 8, 9, 12, 14, 18, 25, 33]"
3,0.7714285714285715,0.75,0.7642357642357642,0.7348469228349535,0.08005475997924805,11,"[1, 3, 4, 5, 7, 9, 10, 14, 18, 31, 33]"
4,0.5714285714285714,0.5416666666666667,0.5523809523809523,0.5,0.12800002098083496,11,"[1, 3, 5, 6, 7, 8, 9, 14, 18, 23, 31]"
5,0.6285714285714286,0.6134868421052632,0.6157745785652763,0.5877029324770341,0.1279745101928711,11,"[1, 3, 4, 5, 6, 7, 8, 9, 14, 26, 33]"
6,0.7714285714285715,0.72,0.7714285714285715,0.7099295739719539,0.06200051307678223,11,"[1, 3, 4, 5, 7, 9, 11, 14, 16, 18, 33]"
7,0.7428571428571429,0.7666666666666666,0.7399087399087401,0.7483314773547882,0.06499981880187988,11,"[1, 3, 4, 5, 7, 8, 12, 14, 18, 20, 33]"
8,0.9142857142857143,0.9,0.9125138427464009,0.8944271909999159,0.08859491348266602,11,"[1, 3, 5, 6, 7, 8, 9, 12, 18, 23, 33]"
9,0.8285714285714286,0.76,0.8223443223443222,0.7429670248402684,0.07800459861755371,11,"[1, 4, 5, 6, 7, 9, 11, 12, 14, 18, 31]"
10,0.8,0.7619047619047619,0.7888991674375578,0.7377111135633174,0.07500052452087402,11,"[1, 3, 4, 5, 7, 8, 14, 15, 16, 18, 33]"
