fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8095238095238095,0.7740384615384615,0.8571428571428571,0.75955452531275,0.3224320411682129,9,"[np.int64(5), np.int64(12), np.int64(21), np.int64(28), np.int64(29), np.int64(39), np.int64(49), np.int64(53), np.int64(59)]"
2,0.5714285714285714,0.6500000000000001,0.64,0.6324555320336759,0.27236270904541016,9,"[np.int64(5), np.int64(12), np.int64(21), np.int64(26), np.int64(30), np.int64(47), np.int64(49), np.int64(54), np.int64(59)]"
3,0.5714285714285714,0.5636363636363636,0.64,0.5393598899705937,0.24997448921203613,9,"[np.int64(4), np.int64(12), np.int64(21), np.int64(28), np.int64(30), np.int64(39), np.int64(47), np.int64(49), np.int64(54)]"
4,0.7619047619047619,0.7836538461538461,0.782608695652174,0.7783117824941562,0.20531821250915527,9,"[np.int64(4), np.int64(5), np.int64(9), np.int64(12), np.int64(21), np.int64(29), np.int64(47), np.int64(49), np.int64(53)]"
5,0.7142857142857143,0.7227272727272727,0.75,0.7006490497453707,0.25005626678466797,9,"[np.int64(2), np.int64(12), np.int64(21), np.int64(28), np.int64(30), np.int64(47), np.int64(49), np.int64(54), np.int64(58)]"
6,0.8095238095238095,0.7857142857142858,0.8571428571428571,0.7824607964359516,0.25306272506713867,9,"[np.int64(4), np.int64(12), np.int64(21), np.int64(28), np.int64(29), np.int64(39), np.int64(47), np.int64(54), np.int64(59)]"
7,0.6190476190476191,0.6090909090909091,0.6923076923076923,0.5720775535473555,0.23435044288635254,9,"[np.int64(4), np.int64(12), np.int64(21), np.int64(27), np.int64(29), np.int64(39), np.int64(47), np.int64(54), np.int64(59)]"
8,0.5714285714285714,0.5772727272727273,0.6086956521739131,0.5640760748177662,0.23549222946166992,9,"[np.int64(4), np.int64(12), np.int64(21), np.int64(28), np.int64(29), np.int64(44), np.int64(49), np.int64(54), np.int64(59)]"
9,0.8,0.7979797979797981,0.8181818181818182,0.7977240352174657,0.28195929527282715,9,"[np.int64(4), np.int64(5), np.int64(12), np.int64(21), np.int64(29), np.int64(44), np.int64(49), np.int64(54), np.int64(59)]"
10,0.65,0.6666666666666666,0.6666666666666666,0.6614378277661477,0.2513597011566162,9,"[np.int64(5), np.int64(9), np.int64(12), np.int64(21), np.int64(28), np.int64(29), np.int64(47), np.int64(49), np.int64(59)]"
