fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7532467532467533,0.6493558776167472,0.4864864864864865,0.595879571531124,0.011002779006958008,2,"[2, 8]"
2,0.7402597402597403,0.6907993966817495,0.5833333333333334,0.6737929826057467,0.013935565948486328,2,"[2, 6]"
3,0.7012987012987013,0.5223684210526316,0.20689655172413793,0.36634754853252327,0.012993574142456055,2,"[2, 6]"
4,0.7012987012987013,0.6023076923076923,0.41025641025641024,0.532049737408941,0.010969400405883789,2,"[2, 6]"
5,0.7922077922077922,0.690677966101695,0.5294117647058824,0.6638357975446149,0.010979413986206055,2,"[2, 6]"
6,0.6753246753246753,0.6134751773049645,0.4444444444444444,0.5457768229098153,0.012978553771972656,2,"[2, 6]"
7,0.7012987012987013,0.6407801418439717,0.4888888888888889,0.5791899454477791,0.011968135833740234,2,"[2, 6]"
8,0.7105263157894737,0.6323076923076923,0.47619047619047616,0.5817744738827396,0.009946107864379883,2,"[2, 8]"
9,0.7105263157894737,0.5404040404040403,0.21428571428571427,0.3588702812826367,0.011973381042480469,2,"[2, 6]"
10,0.7105263157894737,0.5792207792207792,0.35294117647058826,0.4993502271458874,0.011945486068725586,2,"[2, 6]"
