fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9298245614035088,0.9321646341463415,0.8823529411764706,0.932149365190145,0.20345592498779297,6,"[1, 15, 22, 25, 28, 29]"
2,0.8771929824561403,0.9027777777777778,0.8571428571428571,0.8975274678557507,0.25429272651672363,6,"[8, 21, 22, 25, 27, 29]"
3,0.8947368421052632,0.9268292682926829,0.8421052631578947,0.9239364353597956,0.21941280364990234,6,"[8, 15, 21, 22, 28, 29]"
4,0.8771929824561403,0.9186046511627907,0.8,0.914991421995628,0.2144474983215332,6,"[1, 15, 22, 25, 28, 29]"
5,0.9298245614035088,0.9321646341463415,0.8823529411764706,0.932149365190145,0.19647455215454102,6,"[8, 15, 21, 22, 28, 29]"
6,0.8771929824561403,0.8829365079365079,0.8444444444444444,0.8826667146213961,0.17656850814819336,6,"[8, 15, 21, 22, 28, 29]"
7,0.9298245614035088,0.9095238095238095,0.8666666666666667,0.9085135251589959,0.2014331817626953,6,"[1, 15, 22, 25, 28, 29]"
8,0.9824561403508771,0.984375,0.9803921568627451,0.9842509842514764,0.2263946533203125,6,"[2, 8, 21, 25, 28, 29]"
9,0.8421052631578947,0.8545454545454546,0.8163265306122449,0.8528028654224418,0.2962000370025635,6,"[1, 8, 15, 22, 28, 29]"
10,0.9642857142857143,0.9736842105263158,0.9473684210526315,0.9733285267845752,0.21344852447509766,6,"[8, 21, 22, 25, 27, 29]"
