fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6666666666666666,0.6586538461538461,0.6698039215686274,0.6577935144802719,1.065999984741211,20,"[1, 3, 5, 9, 11, 12, 20, 21, 22, 23, 24, 28, 29, 43, 44, 46, 47, 49, 53, 60]"
2,0.6666666666666666,0.6826923076923077,0.6712433257055682,0.6793662204867574,1.0666651725769043,22,"[4, 5, 9, 11, 12, 20, 21, 22, 23, 24, 28, 29, 30, 33, 42, 43, 44, 45, 46, 49, 51, 60]"
3,0.7142857142857143,0.7451923076923077,0.7168831168831169,0.7337993857053429,1.050999641418457,15,"[3, 4, 5, 10, 11, 12, 20, 21, 22, 28, 29, 43, 44, 46, 49]"
4,0.8095238095238095,0.8136363636363637,0.8086580086580087,0.8090398349558905,1.059136152267456,18,"[3, 4, 5, 9, 11, 12, 20, 21, 22, 23, 28, 29, 43, 44, 46, 47, 49, 51]"
5,0.6666666666666666,0.7083333333333333,0.6447058823529412,0.6454972243679028,1.057020902633667,15,"[3, 4, 9, 12, 20, 21, 22, 28, 41, 43, 44, 46, 47, 49, 53]"
6,0.8095238095238095,0.7857142857142858,0.8095238095238095,0.7824607964359516,1.0709996223449707,19,"[1, 3, 4, 5, 9, 12, 20, 21, 22, 23, 24, 28, 29, 43, 44, 45, 46, 49, 51]"
7,0.7619047619047619,0.7681818181818181,0.7586357197341178,0.7567874686642695,1.0566530227661133,19,"[4, 9, 10, 11, 12, 21, 22, 23, 24, 28, 29, 41, 43, 44, 46, 47, 48, 51, 53]"
8,0.5714285714285714,0.6057692307692308,0.5714285714285714,0.5883484054145521,1.057999610900879,18,"[1, 3, 4, 9, 11, 12, 20, 21, 22, 23, 28, 42, 43, 44, 46, 47, 49, 51]"
9,0.65,0.65,0.6491228070175439,0.648074069840786,1.061591386795044,18,"[3, 4, 9, 11, 12, 20, 21, 22, 23, 24, 28, 29, 43, 44, 46, 49, 51, 60]"
10,0.55,0.5879120879120879,0.5556390977443609,0.5741692517632146,1.059000015258789,17,"[1, 3, 4, 5, 9, 10, 12, 20, 21, 22, 23, 28, 29, 43, 44, 46, 49]"
