fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8055555555555556,0.7941176470588236,0.8444444444444444,0.7669649888473704,0.03288865089416504,4,"[1, 3, 5, 7]"
2,0.8285714285714286,0.8095238095238095,0.8636363636363636,0.8039020483873397,0.03293871879577637,4,"[1, 3, 5, 7]"
3,0.8285714285714286,0.8083333333333333,0.8636363636363636,0.7958224257542215,0.030915498733520508,4,"[1, 3, 5, 7]"
4,0.6857142857142857,0.6759868421052632,0.7317073170731707,0.666392487478979,0.03091740608215332,4,"[1, 3, 5, 7]"
5,0.7714285714285715,0.738095238095238,0.8260869565217391,0.7190318509781667,0.029919862747192383,4,"[1, 3, 5, 7]"
6,0.7714285714285715,0.69,0.8461538461538461,0.6633249580710799,0.03089427947998047,4,"[1, 3, 5, 7]"
7,0.8,0.7941176470588236,0.8372093023255814,0.7669649888473704,0.029919862747192383,4,"[1, 3, 5, 7]"
8,0.8857142857142857,0.8823529411764706,0.9,0.8744746321952062,0.028922319412231445,3,"[1, 3, 5]"
9,0.8285714285714286,0.7272727272727273,0.8888888888888888,0.674199862463242,0.032892704010009766,3,"[1, 3, 5]"
10,0.9142857142857143,0.875,0.9387755102040817,0.8660254037844386,0.029919862747192383,4,"[1, 3, 5, 7]"
